date,broker,category,product,net_position_text,contract,long_position,long_change,short_position,short_change
2026-05-27,高盛期货,农副,花生,"净空15033
(减少136)
净持仓数据",pk2610,0,0,15566,-122
2026-05-27,高盛期货,农副,花生,"净空15033
(减少136)
净持仓数据",pk2611,533,14,0,0
2026-05-27,高盛期货,化工,短纤,"净空5808
(减少80)
净持仓数据",pf2607,0,-1013,3829,-1273
2026-05-27,高盛期货,化工,短纤,"净空5808
(减少80)
净持仓数据",pf2608,314,-502,2293,-397
2026-05-27,高盛期货,化工,短纤,"净空5808
(减少80)
净持仓数据",pf2610,0,-75,0,0
2026-05-27,高盛期货,化工,液化气,"净多6714
(增加374)
净持仓数据",pg2607,5079,349,0,0
2026-05-27,高盛期货,化工,液化气,"净多6714
(增加374)
净持仓数据",pg2608,1635,25,0,0
2026-05-27,高盛期货,化工,PP,"净多5909
(减少309)
净持仓数据",pp2609,7058,481,0,0
2026-05-27,高盛期货,化工,PP,"净多5909
(减少309)
净持仓数据",pp2701,0,0,1149,790
2026-05-27,高盛期货,化工,瓶片,"净多1262
(增加1005)
净持仓数据",pr2607,1496,1005,234,0
2026-05-27,高盛期货,化工,对二甲苯,"净空536
(减少545)
净持仓数据",px2609,3343,406,3879,-139
2026-05-27,高盛期货,化工,天然橡胶,"净多1403
净持仓数据",ru2609,1403,0,0,0
2026-05-27,高盛期货,化工,纯碱,"净空57479
(减少3800)
净持仓数据",sa2609,0,0,43530,-3800
2026-05-27,高盛期货,化工,纯碱,"净空57479
(减少3800)
净持仓数据",sa2701,0,0,13949,0
2026-05-27,高盛期货,化工,PTA,"净多12699
(减少820)
净持仓数据",ta2606,3000,-1000,0,0
2026-05-27,高盛期货,化工,PTA,"净多12699
(减少820)
净持仓数据",ta2607,11356,370,0,0
2026-05-27,高盛期货,化工,PTA,"净多12699
(减少820)
净持仓数据",ta2608,1583,623,0,0
2026-05-27,高盛期货,化工,PTA,"净多12699
(减少820)
净持仓数据",ta2609,22774,1357,29080,2888
2026-05-27,高盛期货,化工,PTA,"净多12699
(减少820)
净持仓数据",ta2610,600,432,0,0
2026-05-27,高盛期货,化工,PTA,"净多12699
(减少820)
净持仓数据",ta2701,2466,286,0,0
2026-05-27,高盛期货,化工,沥青,"净多6452
(减少3380)
净持仓数据",bu2609,11048,-1380,4596,2000
2026-05-27,高盛期货,化工,PVC,"净空39227
(增加929)
净持仓数据",v2609,0,0,39227,929
2026-05-27,高盛期货,化工,苯乙烯,"净多10247
(增加3754)
净持仓数据",eb2607,7425,4064,0,0
2026-05-27,高盛期货,化工,苯乙烯,"净多10247
(增加3754)
净持仓数据",eb2608,2822,-310,0,0
2026-05-27,高盛期货,化工,乙二醇,"净空14152
(增加878)
净持仓数据",eg2609,0,0,14152,878
2026-05-27,高盛期货,化工,塑料,"净空7202
(减少4461)
净持仓数据",l2609,0,0,7202,-4461
2026-05-27,高盛期货,化工,甲醇,"净多13561
(增加14495)
净持仓数据",ma2609,13561,1485,0,-13010
2026-05-27,高盛期货,化工,20号胶,"净多1112
(增加502)
净持仓数据",nr2607,0,0,698,-251
2026-05-27,高盛期货,化工,20号胶,"净多1112
(增加502)
净持仓数据",nr2608,2292,251,482,0
2026-05-27,高盛期货,原油,燃料油,"净多2949
(减少2267)
净持仓数据",fu2609,2949,-2267,0,0
2026-05-27,高盛期货,原油,低硫油,"净多651
(减少419)
净持仓数据",lu2607,651,-1132,0,-713
2026-05-27,高盛期货,有色,沪铅,"净空5133
(减少1497)
净持仓数据",pb2608,340,340,4558,545
2026-05-27,高盛期货,有色,沪铅,"净空5133
(减少1497)
净持仓数据",pb2607,0,0,915,-1702
2026-05-27,高盛期货,有色,沪锡,"净多692
(增加341)
净持仓数据",sn2608,692,341,0,0
2026-05-27,高盛期货,有色,沪铝,"净空3237
(减少1764)
净持仓数据",al2607,0,0,4857,371
2026-05-27,高盛期货,有色,沪铝,"净空3237
(减少1764)
净持仓数据",al2608,4849,1017,3229,-1118
2026-05-27,高盛期货,有色,沪铜,"净多3315
(减少214)
净持仓数据",cu2607,2205,-519,0,0
2026-05-27,高盛期货,有色,沪铜,"净多3315
(减少214)
净持仓数据",cu2608,2737,305,0,0
2026-05-27,高盛期货,有色,沪铜,"净多3315
(减少214)
净持仓数据",cu2612,0,0,1627,0
2026-05-27,高盛期货,有色,沪锌,"净多13503
(减少1699)
净持仓数据",zn2607,6021,-2297,1792,0
2026-05-27,高盛期货,有色,沪锌,"净多13503
(减少1699)
净持仓数据",zn2608,10223,719,991,121
2026-05-27,高盛期货,有色,沪锌,"净多13503
(减少1699)
净持仓数据",zn2609,42,0,0,0
2026-05-27,高盛期货,有色,碳酸锂,"净多400
(减少200)
净持仓数据",lc2611,200,-200,0,0
2026-05-27,高盛期货,有色,碳酸锂,"净多400
(减少200)
净持仓数据",lc2701,200,0,0,0
2026-05-27,高盛期货,有色,沪镍,"净空3174
(减少141)
净持仓数据",ni2609,0,0,3174,-141
2026-05-27,高盛期货,油脂油料,菜粕,"净空27492
(增加15123)
净持仓数据",rm2608,0,0,231,56
2026-05-27,高盛期货,油脂油料,菜粕,"净空27492
(增加15123)
净持仓数据",rm2609,34221,-2806,56186,12020
2026-05-27,高盛期货,油脂油料,菜粕,"净空27492
(增加15123)
净持仓数据",rm2701,0,0,5296,241
2026-05-27,高盛期货,油脂油料,豆一,"净多4826
(增加1989)
净持仓数据",a2607,9855,479,8597,-1190
2026-05-27,高盛期货,油脂油料,豆一,"净多4826
(增加1989)
净持仓数据",a2609,3568,320,0,0
2026-05-27,高盛期货,油脂油料,豆二,"净空8326
(减少346)
净持仓数据",b2607,4740,895,9952,974
2026-05-27,高盛期货,油脂油料,豆二,"净空8326
(减少346)
净持仓数据",b2608,715,715,0,0
2026-05-27,高盛期货,油脂油料,豆二,"净空8326
(减少346)
净持仓数据",b2609,1896,-164,5725,126
2026-05-27,高盛期货,油脂油料,豆油,"净多32897
(增加3675)
净持仓数据",y2609,32897,-2652,0,-6327
2026-05-27,高盛期货,油脂油料,豆粕,"净多30065
(减少5002)
净持仓数据",m2609,30065,-5002,0,0
2026-05-27,高盛期货,油脂油料,菜油,"净多23036
(增加3072)
净持仓数据",oi2607,323,180,0,0
2026-05-27,高盛期货,油脂油料,菜油,"净多23036
(增加3072)
净持仓数据",oi2609,22063,2796,0,0
2026-05-27,高盛期货,油脂油料,菜油,"净多23036
(增加3072)
净持仓数据",oi2701,758,91,108,-5
2026-05-27,高盛期货,油脂油料,棕榈油,"净空20474
(减少7412)
净持仓数据",p2609,8967,672,29441,-6740
2026-05-27,高盛期货,贵金属,沪银,"净空1579
(增加3411)
净持仓数据",ag2606,0,-2027,0,-2027
2026-05-27,高盛期货,贵金属,沪银,"净空1579
(增加3411)
净持仓数据",ag2608,0,-3410,0,0
