date,broker,product,flow_text,flow_direction_cn,flow_direction,flow_value,abs_flow_value,action
2026-06-11,东方财富,鸡蛋,"流多 108,295,800",流多,long,108295800,108295800,建仓过程
2026-06-11,东方财富,沪银,"流多 46,011,240",流多,long,46011240,46011240,建仓过程
2026-06-11,东方财富,燃料油,"流空 24,510,150",流空,short,-24510150,24510150,建仓过程
2026-06-11,东方财富,生猪,"流多 22,027,360",流多,long,22027360,22027360,建仓过程
2026-06-11,东方财富,玻璃,"流多 21,165,000",流多,long,21165000,21165000,建仓过程
2026-06-11,东方财富,烧碱,"流空 12,583,740",流空,short,-12583740,12583740,建仓过程
2026-06-11,东方财富,淀粉,"流空 10,603,580",流空,short,-10603580,10603580,建仓过程
2026-06-11,东方财富,氧化铝,"流多 9,832,800",流多,long,9832800,9832800,建仓过程
2026-06-11,东方财富,白糖,"流空 6,318,000",流空,short,-6318000,6318000,建仓过程
2026-06-11,国泰君安,十债,"流多 2,102,563,750",流多,long,2102563750,2102563750,建仓过程
2026-06-11,国泰君安,500中证,"流多 1,944,320,160",流多,long,1944320160,1944320160,建仓过程
2026-06-11,国泰君安,沪金,"流空 1,111,839,200",流空,short,-1111839200,1111839200,建仓过程
2026-06-11,国泰君安,三十债,"流空 982,505,100",流空,short,-982505100,982505100,建仓过程
2026-06-11,国泰君安,300沪深,"流空 833,975,940",流空,short,-833975940,833975940,建仓过程
2026-06-11,国泰君安,沪铝,"流多 692,333,325",流多,long,692333325,692333325,建仓过程
2026-06-11,国泰君安,沪铜,"流空 630,407,150",流空,short,-630407150,630407150,建仓过程
2026-06-11,国泰君安,沪银,"流空 601,960,980",流空,short,-601960980,601960980,建仓过程
2026-06-11,国泰君安,二债,"流空 600,860,960",流空,short,-600860960,600860960,建仓过程
2026-06-11,国泰君安,沪锌,"流空 553,275,300",流空,short,-553275300,553275300,建仓过程
2026-06-11,国泰君安,碳酸锂,"流多 292,442,280",流多,long,292442280,292442280,建仓过程
2026-06-11,国泰君安,五债,"流多 265,679,000",流多,long,265679000,265679000,建仓过程
2026-06-11,国泰君安,乙二醇,"流多 222,228,180",流多,long,222228180,222228180,建仓过程
2026-06-11,国泰君安,1000中证,"流多 204,180,600",流多,long,204180600,204180600,建仓过程
2026-06-11,国泰君安,生猪,"流多 201,070,800",流多,long,201070800,201070800,建仓过程
2026-06-11,国泰君安,工业硅,"流空 200,000,625",流空,short,-200000625,200000625,建仓过程
2026-06-11,国泰君安,苹果,"流多 187,360,860",流多,long,187360860,187360860,建仓过程
2026-06-11,国泰君安,豆粕,"流空 183,519,450",流空,short,-183519450,183519450,建仓过程
2026-06-11,国泰君安,沥青,"流多 182,386,000",流多,long,182386000,182386000,建仓过程
2026-06-11,国泰君安,鸡蛋,"流空 172,141,710",流空,short,-172141710,172141710,建仓过程
2026-06-11,国泰君安,玻璃,"流多 169,314,360",流多,long,169314360,169314360,建仓过程
2026-06-11,国泰君安,棕榈油,"流空 163,530,940",流空,short,-163530940,163530940,建仓过程
2026-06-11,国泰君安,PVC,"流多 145,843,605",流多,long,145843605,145843605,建仓过程
2026-06-11,国泰君安,菜粕,"流多 137,685,510",流多,long,137685510,137685510,建仓过程
2026-06-11,国泰君安,塑料,"流空 135,930,540",流空,short,-135930540,135930540,建仓过程
2026-06-11,国泰君安,硅铁,"流多 130,958,080",流多,long,130958080,130958080,建仓过程
2026-06-11,国泰君安,烧碱,"流多 125,795,490",流多,long,125795490,125795490,建仓过程
2026-06-11,国泰君安,螺纹钢,"流空 122,054,160",流空,short,-122054160,122054160,建仓过程
2026-06-11,国泰君安,苯乙烯,"流多 121,101,960",流多,long,121101960,121101960,建仓过程
2026-06-11,国泰君安,50上证,"流空 120,065,040",流空,short,-120065040,120065040,建仓过程
2026-06-11,国泰君安,沪铅,"流多 117,235,375",流多,long,117235375,117235375,建仓过程
2026-06-11,国泰君安,天然橡胶,"流多 116,375,450",流多,long,116375450,116375450,建仓过程
2026-06-11,国泰君安,20号胶,"流多 116,165,300",流多,long,116165300,116165300,建仓过程
2026-06-11,国泰君安,锰硅,"流空 101,614,020",流空,short,-101614020,101614020,建仓过程
2026-06-11,国泰君安,甲醇,"流空 98,362,630",流空,short,-98362630,98362630,建仓过程
2026-06-11,国泰君安,沪锡,"流多 92,187,590",流多,long,92187590,92187590,建仓过程
2026-06-11,国泰君安,纸浆,"流多 85,670,760",流多,long,85670760,85670760,建仓过程
2026-06-11,国泰君安,热卷,"流多 76,342,680",流多,long,76342680,76342680,建仓过程
2026-06-11,国泰君安,铁矿石,"流多 73,996,350",流多,long,73996350,73996350,建仓过程
2026-06-11,国泰君安,氧化铝,"流多 72,346,920",流多,long,72346920,72346920,建仓过程
2026-06-11,国泰君安,白糖,"流空 71,172,160",流空,short,-71172160,71172160,建仓过程
2026-06-11,国泰君安,不锈钢,"流多 69,360,075",流多,long,69360075,69360075,建仓过程
2026-06-11,国泰君安,PP,"流多 67,639,380",流多,long,67639380,67639380,建仓过程
2026-06-11,国泰君安,液化气,"流空 59,285,460",流空,short,-59285460,59285460,建仓过程
2026-06-11,国泰君安,红枣,"流空 54,755,825",流空,short,-54755825,54755825,建仓过程
2026-06-11,国泰君安,沪镍,"流空 52,513,620",流空,short,-52513620,52513620,建仓过程
2026-06-11,国泰君安,焦炭,"流空 46,952,100",流空,short,-46952100,46952100,建仓过程
2026-06-11,国泰君安,菜油,"流空 43,129,000",流空,short,-43129000,43129000,建仓过程
2026-06-11,国泰君安,花生,"流多 39,293,520",流多,long,39293520,39293520,建仓过程
2026-06-11,国泰君安,豆一,"流空 38,362,460",流空,short,-38362460,38362460,建仓过程
2026-06-11,国泰君安,短纤,"流多 36,110,940",流多,long,36110940,36110940,建仓过程
2026-06-11,国泰君安,棉花,"流空 34,191,150",流空,short,-34191150,34191150,建仓过程
2026-06-11,国泰君安,燃料油,"流多 27,960,030",流多,long,27960030,27960030,建仓过程
2026-06-11,国泰君安,豆油,"流空 23,957,440",流空,short,-23957440,23957440,建仓过程
2026-06-11,国泰君安,对二甲苯,"流多 19,162,460",流多,long,19162460,19162460,建仓过程
2026-06-11,国泰君安,铝合金,"流多 18,757,150",流多,long,18757150,18757150,建仓过程
2026-06-11,国泰君安,尿素,"流空 18,651,120",流空,short,-18651120,18651120,建仓过程
2026-06-11,国泰君安,丙烯,"流多 18,084,660",流多,long,18084660,18084660,建仓过程
2026-06-11,国泰君安,玉米,"流空 15,121,220",流空,short,-15121220,15121220,建仓过程
2026-06-11,国泰君安,瓶片,"流空 12,024,960",流空,short,-12024960,12024960,建仓过程
2026-06-11,国泰君安,淀粉,"流多 11,509,410",流多,long,11509410,11509410,建仓过程
2026-06-11,国泰君安,PTA,"流多 11,348,720",流多,long,11348720,11348720,建仓过程
2026-06-11,国泰君安,多晶硅,"流多 10,778,955",流多,long,10778955,10778955,建仓过程
2026-06-11,国泰君安,棉纱,"流空 9,739,400",流空,short,-9739400,9739400,建仓过程
2026-06-11,国泰君安,合成橡胶,"流空 8,486,150",流空,short,-8486150,8486150,建仓过程
2026-06-11,国泰君安,双胶纸,"流多 8,140,480",流多,long,8140480,8140480,建仓过程
2026-06-11,国泰君安,低硫油,"流多 6,095,250",流多,long,6095250,6095250,建仓过程
2026-06-11,国泰君安,焦煤,"流多 5,088,210",流多,long,5088210,5088210,建仓过程
2026-06-11,徽商期货,50上证,"流空 170,889,360",流空,short,-170889360,170889360,建仓过程
2026-06-11,徽商期货,玻璃,"流多 67,111,320",流多,long,67111320,67111320,建仓过程
2026-06-11,徽商期货,沪金,"流多 53,163,280",流多,long,53163280,53163280,建仓过程
2026-06-11,徽商期货,螺纹钢,"流多 49,055,830",流多,long,49055830,49055830,建仓过程
2026-06-11,徽商期货,烧碱,"流空 42,224,880",流空,short,-42224880,42224880,建仓过程
2026-06-11,徽商期货,白糖,"流多 31,448,880",流多,long,31448880,31448880,建仓过程
2026-06-11,徽商期货,鸡蛋,"流空 31,230,350",流空,short,-31230350,31230350,建仓过程
2026-06-11,徽商期货,工业硅,"流多 30,196,700",流多,long,30196700,30196700,建仓过程
2026-06-11,徽商期货,豆油,"流多 29,697,780",流多,long,29697780,29697780,建仓过程
2026-06-11,徽商期货,菜粕,"流空 24,369,860",流空,short,-24369860,24369860,建仓过程
2026-06-11,徽商期货,对二甲苯,"流多 23,891,400",流多,long,23891400,23891400,建仓过程
2026-06-11,徽商期货,苹果,"流空 23,050,980",流空,short,-23050980,23050980,建仓过程
2026-06-11,徽商期货,焦煤,"流多 20,285,340",流多,long,20285340,20285340,建仓过程
2026-06-11,徽商期货,PVC,"流多 19,986,185",流多,long,19986185,19986185,建仓过程
2026-06-11,徽商期货,硅铁,"流空 17,430,570",流空,short,-17430570,17430570,建仓过程
2026-06-11,徽商期货,豆粕,"流多 15,248,010",流多,long,15248010,15248010,建仓过程
2026-06-11,徽商期货,塑料,"流空 15,215,290",流空,short,-15215290,15215290,建仓过程
2026-06-11,徽商期货,纸浆,"流空 14,707,400",流空,short,-14707400,14707400,建仓过程
2026-06-11,徽商期货,苯乙烯,"流空 14,560,570",流空,short,-14560570,14560570,建仓过程
2026-06-11,徽商期货,豆二,"流空 14,239,530",流空,short,-14239530,14239530,建仓过程
2026-06-11,徽商期货,花生,"流空 12,902,000",流空,short,-12902000,12902000,建仓过程
2026-06-11,徽商期货,乙二醇,"流空 12,849,960",流空,short,-12849960,12849960,建仓过程
2026-06-11,徽商期货,多晶硅,"流多 12,848,355",流多,long,12848355,12848355,建仓过程
2026-06-11,徽商期货,红枣,"流空 12,425,650",流空,short,-12425650,12425650,建仓过程
2026-06-11,徽商期货,尿素,"流空 12,375,700",流空,short,-12375700,12375700,建仓过程
2026-06-11,徽商期货,纯碱,"流多 8,842,160",流多,long,8842160,8842160,建仓过程
2026-06-11,徽商期货,液化气,"流空 8,767,760",流空,short,-8767760,8767760,建仓过程
2026-06-11,徽商期货,氧化铝,"流空 8,144,240",流空,short,-8144240,8144240,建仓过程
2026-06-11,徽商期货,豆一,"流多 7,839,720",流多,long,7839720,7839720,建仓过程
2026-06-11,徽商期货,生猪,"流空 6,598,080",流空,short,-6598080,6598080,建仓过程
2026-06-11,徽商期货,玉米,"流多 5,675,410",流多,long,5675410,5675410,建仓过程
2026-06-11,徽商期货,PTA,"流多 5,088,100",流多,long,5088100,5088100,建仓过程
2026-06-11,摩根大通,棕榈油,"流多 400,994,730",流多,long,400994730,400994730,建仓过程
2026-06-11,摩根大通,1000中证,"流空 258,907,080",流空,short,-258907080,258907080,建仓过程
2026-06-11,摩根大通,豆油,"流空 252,556,680",流空,short,-252556680,252556680,建仓过程
2026-06-11,摩根大通,对二甲苯,"流空 232,190,920",流空,short,-232190920,232190920,建仓过程
2026-06-11,摩根大通,豆粕,"流空 213,135,330",流空,short,-213135330,213135330,建仓过程
2026-06-11,摩根大通,沪镍,"流多 197,170,230",流多,long,197170230,197170230,建仓过程
2026-06-11,摩根大通,PTA,"流空 112,536,600",流空,short,-112536600,112536600,建仓过程
2026-06-11,摩根大通,菜粕,"流空 62,467,550",流空,short,-62467550,62467550,建仓过程
2026-06-11,摩根大通,豆二,"流多 53,759,060",流多,long,53759060,53759060,建仓过程
2026-06-11,摩根大通,花生,"流多 51,635,400",流多,long,51635400,51635400,建仓过程
2026-06-11,摩根大通,菜油,"流多 47,461,500",流多,long,47461500,47461500,建仓过程
2026-06-11,摩根大通,铁矿石,"流空 25,294,500",流空,short,-25294500,25294500,建仓过程
2026-06-11,摩根大通,20号胶,"流空 14,724,500",流空,short,-14724500,14724500,建仓过程
2026-06-11,摩根大通,500中证,"流多 6,023,840",流多,long,6023840,6023840,建仓过程
2026-06-11,摩根大通,豆一,"流空 5,995,920",流空,short,-5995920,5995920,建仓过程
2026-06-11,摩根大通,300沪深,"流空 5,565,840",流空,short,-5565840,5565840,建仓过程
2026-06-11,高盛期货,沪金,"流多 691,062,720",流多,long,691062720,691062720,建仓过程
2026-06-11,高盛期货,豆粕,"流多 614,597,600",流多,long,614597600,614597600,建仓过程
2026-06-11,高盛期货,沪铜,"流空 593,916,000",流空,short,-593916000,593916000,建仓过程
2026-06-11,高盛期货,白糖,"流空 460,608,120",流空,short,-460608120,460608120,建仓过程
2026-06-11,高盛期货,棕榈油,"流多 355,439,700",流多,long,355439700,355439700,建仓过程
2026-06-11,高盛期货,甲醇,"流多 320,120,640",流多,long,320120640,320120640,建仓过程
2026-06-11,高盛期货,沪锌,"流空 307,729,500",流空,short,-307729500,307729500,建仓过程
2026-06-11,高盛期货,玻璃,"流空 178,230,720",流空,short,-178230720,178230720,建仓过程
2026-06-11,高盛期货,菜油,"流空 171,486,520",流空,short,-171486520,171486520,建仓过程
2026-06-11,高盛期货,PP,"流多 168,198,720",流多,long,168198720,168198720,建仓过程
2026-06-11,高盛期货,热卷,"流空 165,356,100",流空,short,-165356100,165356100,建仓过程
2026-06-11,高盛期货,塑料,"流多 138,754,620",流多,long,138754620,138754620,建仓过程
2026-06-11,高盛期货,沪锡,"流多 123,082,960",流多,long,123082960,123082960,建仓过程
2026-06-11,高盛期货,沪银,"流多 121,992,660",流多,long,121992660,121992660,建仓过程
2026-06-11,高盛期货,乙二醇,"流多 119,764,980",流多,long,119764980,119764980,建仓过程
2026-06-11,高盛期货,PVC,"流空 118,881,070",流空,short,-118881070,118881070,建仓过程
2026-06-11,高盛期货,沥青,"流多 111,814,100",流多,long,111814100,111814100,建仓过程
2026-06-11,高盛期货,铁矿石,"流多 100,687,750",流多,long,100687750,100687750,建仓过程
2026-06-11,高盛期货,豆油,"流多 97,491,180",流多,long,97491180,97491180,建仓过程
2026-06-11,高盛期货,20号胶,"流空 95,968,350",流空,short,-95968350,95968350,建仓过程
2026-06-11,高盛期货,碳酸锂,"流空 93,603,840",流空,short,-93603840,93603840,建仓过程
2026-06-11,高盛期货,沪铅,"流空 64,272,650",流空,short,-64272650,64272650,建仓过程
2026-06-11,高盛期货,不锈钢,"流多 62,559,650",流多,long,62559650,62559650,建仓过程
2026-06-11,高盛期货,燃料油,"流多 53,321,940",流多,long,53321940,53321940,建仓过程
2026-06-11,高盛期货,短纤,"流空 51,520,140",流空,short,-51520140,51520140,建仓过程
2026-06-11,高盛期货,液化气,"流多 47,586,360",流多,long,47586360,47586360,建仓过程
2026-06-11,高盛期货,瓶片,"流多 47,060,190",流多,long,47060190,47060190,建仓过程
2026-06-11,高盛期货,沪铝,"流多 42,548,550",流多,long,42548550,42548550,建仓过程
2026-06-11,高盛期货,纸浆,"流多 36,086,700",流多,long,36086700,36086700,建仓过程
2026-06-11,高盛期货,纯碱,"流空 29,616,720",流空,short,-29616720,29616720,建仓过程
2026-06-11,高盛期货,苯乙烯,"流多 28,920,720",流多,long,28920720,28920720,建仓过程
2026-06-11,高盛期货,PTA,"流多 25,969,600",流多,long,25969600,25969600,建仓过程
2026-06-11,高盛期货,豆二,"流多 24,455,690",流多,long,24455690,24455690,建仓过程
2026-06-11,高盛期货,花生,"流空 19,060,140",流空,short,-19060140,19060140,建仓过程
2026-06-11,高盛期货,菜粕,"流空 16,861,170",流空,short,-16861170,16861170,建仓过程
2026-06-11,高盛期货,对二甲苯,"流多 14,201,540",流多,long,14201540,14201540,建仓过程
2026-06-11,高盛期货,天然橡胶,"流空 10,962,000",流空,short,-10962000,10962000,建仓过程
2026-06-11,高盛期货,硅铁,"流多 8,780,170",流多,long,8780170,8780170,建仓过程
2026-06-11,高盛期货,豆一,"流空 8,607,540",流空,short,-8607540,8607540,建仓过程
2026-06-11,高盛期货,锰硅,"流空 7,440,000",流空,short,-7440000,7440000,建仓过程
