date,broker,product,flow_text,flow_direction_cn,flow_direction,flow_value,abs_flow_value,action
2026-06-04,东方财富,沪锡,"流多 447,616,260",流多,long,447616260,447616260,建仓过程
2026-06-04,东方财富,鸡蛋,"流多 119,220,390",流多,long,119220390,119220390,建仓过程
2026-06-04,东方财富,生猪,"流多 106,367,360",流多,long,106367360,106367360,建仓过程
2026-06-04,东方财富,烧碱,"流多 40,993,200",流多,long,40993200,40993200,建仓过程
2026-06-04,东方财富,氧化铝,"流多 40,510,800",流多,long,40510800,40510800,建仓过程
2026-06-04,东方财富,沪银,"流空 40,023,000",流空,short,-40023000,40023000,建仓过程
2026-06-04,东方财富,碳酸锂,"流空 31,418,880",流空,short,-31418880,31418880,建仓过程
2026-06-04,东方财富,多晶硅,"流多 17,021,115",流多,long,17021115,17021115,建仓过程
2026-06-04,东方财富,1000中证,"流多 13,246,720",流多,long,13246720,13246720,建仓过程
2026-06-04,东方财富,菜油,"流多 8,807,700",流多,long,8807700,8807700,建仓过程
2026-06-04,东方财富,红枣,"流空 7,081,000",流空,short,-7081000,7081000,建仓过程
2026-06-04,东方财富,燃料油,"流多 7,048,580",流多,long,7048580,7048580,建仓过程
2026-06-04,东方财富,玻璃,"流空 5,622,700",流空,short,-5622700,5622700,建仓过程
2026-06-04,国泰君安,1000中证,"流多 2,504,241,920",流多,long,2504241920,2504241920,建仓过程
2026-06-04,国泰君安,二债,"流空 1,229,627,200",流空,short,-1229627200,1229627200,建仓过程
2026-06-04,国泰君安,十债,"流空 1,024,979,500",流空,short,-1024979500,1024979500,建仓过程
2026-06-04,国泰君安,500中证,"流空 917,498,560",流空,short,-917498560,917498560,建仓过程
2026-06-04,国泰君安,焦煤,"流多 798,959,280",流多,long,798959280,798959280,建仓过程
2026-06-04,国泰君安,棉花,"流空 687,414,550",流空,short,-687414550,687414550,建仓过程
2026-06-04,国泰君安,PTA,"流空 675,206,230",流空,short,-675206230,675206230,建仓过程
2026-06-04,国泰君安,沪铜,"流空 670,689,350",流空,short,-670689350,670689350,建仓过程
2026-06-04,国泰君安,沪银,"流空 628,964,490",流空,short,-628964490,628964490,建仓过程
2026-06-04,国泰君安,热卷,"流多 600,975,000",流多,long,600975000,600975000,建仓过程
2026-06-04,国泰君安,沪金,"流空 549,570,880",流空,short,-549570880,549570880,建仓过程
2026-06-04,国泰君安,铁矿石,"流空 529,923,600",流空,short,-529923600,529923600,建仓过程
2026-06-04,国泰君安,白糖,"流空 516,836,670",流空,short,-516836670,516836670,建仓过程
2026-06-04,国泰君安,碳酸锂,"流多 497,904,820",流多,long,497904820,497904820,建仓过程
2026-06-04,国泰君安,50上证,"流空 445,393,620",流空,short,-445393620,445393620,建仓过程
2026-06-04,国泰君安,棕榈油,"流多 418,215,820",流多,long,418215820,418215820,建仓过程
2026-06-04,国泰君安,豆粕,"流多 389,585,680",流多,long,389585680,389585680,建仓过程
2026-06-04,国泰君安,沪铝,"流空 389,059,775",流空,short,-389059775,389059775,建仓过程
2026-06-04,国泰君安,苯乙烯,"流多 341,140,510",流多,long,341140510,341140510,建仓过程
2026-06-04,国泰君安,沪镍,"流空 339,846,220",流空,short,-339846220,339846220,建仓过程
2026-06-04,国泰君安,玻璃,"流空 285,130,760",流空,short,-285130760,285130760,建仓过程
2026-06-04,国泰君安,天然橡胶,"流空 281,183,050",流空,short,-281183050,281183050,建仓过程
2026-06-04,国泰君安,PVC,"流空 252,693,280",流空,short,-252693280,252693280,建仓过程
2026-06-04,国泰君安,对二甲苯,"流空 228,160,180",流空,short,-228160180,228160180,建仓过程
2026-06-04,国泰君安,玉米,"流空 226,819,990",流空,short,-226819990,226819990,建仓过程
2026-06-04,国泰君安,氧化铝,"流空 191,842,940",流空,short,-191842940,191842940,建仓过程
2026-06-04,国泰君安,菜粕,"流空 179,615,830",流空,short,-179615830,179615830,建仓过程
2026-06-04,国泰君安,鸡蛋,"流空 172,394,620",流空,short,-172394620,172394620,建仓过程
2026-06-04,国泰君安,生猪,"流多 172,384,320",流多,long,172384320,172384320,建仓过程
2026-06-04,国泰君安,螺纹钢,"流多 165,241,010",流多,long,165241010,165241010,建仓过程
2026-06-04,国泰君安,菜油,"流多 158,031,800",流多,long,158031800,158031800,建仓过程
2026-06-04,国泰君安,淀粉,"流空 146,124,960",流空,short,-146124960,146124960,建仓过程
2026-06-04,国泰君安,尿素,"流多 134,128,380",流多,long,134128380,134128380,建仓过程
2026-06-04,国泰君安,苹果,"流空 117,394,530",流空,short,-117394530,117394530,建仓过程
2026-06-04,国泰君安,燃料油,"流多 106,935,080",流多,long,106935080,106935080,建仓过程
2026-06-04,国泰君安,塑料,"流多 96,676,570",流多,long,96676570,96676570,建仓过程
2026-06-04,国泰君安,瓶片,"流多 94,593,870",流多,long,94593870,94593870,建仓过程
2026-06-04,国泰君安,合成橡胶,"流多 94,217,200",流多,long,94217200,94217200,建仓过程
2026-06-04,国泰君安,沪铅,"流多 91,911,725",流多,long,91911725,91911725,建仓过程
2026-06-04,国泰君安,五债,"流空 91,547,000",流空,short,-91547000,91547000,建仓过程
2026-06-04,国泰君安,甲醇,"流空 90,880,070",流空,short,-90880070,90880070,建仓过程
2026-06-04,国泰君安,红枣,"流多 90,386,250",流多,long,90386250,90386250,建仓过程
2026-06-04,国泰君安,沪锌,"流空 88,895,550",流空,short,-88895550,88895550,建仓过程
2026-06-04,国泰君安,PP,"流空 80,657,705",流空,short,-80657705,80657705,建仓过程
2026-06-04,国泰君安,不锈钢,"流多 77,950,700",流多,long,77950700,77950700,建仓过程
2026-06-04,国泰君安,焦炭,"流空 70,480,200",流空,short,-70480200,70480200,建仓过程
2026-06-04,国泰君安,乙二醇,"流空 62,623,460",流空,short,-62623460,62623460,建仓过程
2026-06-04,国泰君安,豆一,"流空 61,668,830",流空,short,-61668830,61668830,建仓过程
2026-06-04,国泰君安,短纤,"流空 57,732,360",流空,short,-57732360,57732360,建仓过程
2026-06-04,国泰君安,烧碱,"流空 49,464,390",流空,short,-49464390,49464390,建仓过程
2026-06-04,国泰君安,多晶硅,"流多 49,181,790",流多,long,49181790,49181790,建仓过程
2026-06-04,国泰君安,纸浆,"流多 44,907,780",流多,long,44907780,44907780,建仓过程
2026-06-04,国泰君安,硅铁,"流多 44,679,050",流多,long,44679050,44679050,建仓过程
