date,broker,category,product,net_position_text,contract,long_position,long_change,short_position,short_change
2026-05-25,高盛期货,农副,花生,"净空15145
(增加215)
净持仓数据",pk2610,0,0,15664,238
2026-05-25,高盛期货,农副,花生,"净空15145
(增加215)
净持仓数据",pk2611,519,23,0,0
2026-05-25,高盛期货,化工,PP,"净空70
(增加6049)
净持仓数据",pp2609,6422,-2986,6492,3063
2026-05-25,高盛期货,化工,瓶片,"净多159
(增加518)
净持仓数据",pr2607,159,0,0,-518
2026-05-25,高盛期货,化工,对二甲苯,"净空1908
(减少1500)
净持仓数据",px2609,2668,553,4576,-947
2026-05-25,高盛期货,化工,纯碱,"净空62813
(减少3741)
净持仓数据",sa2609,0,0,48864,-3741
2026-05-25,高盛期货,化工,纯碱,"净空62813
(减少3741)
净持仓数据",sa2701,0,0,13949,0
2026-05-25,高盛期货,化工,PTA,"净多4933
(增加5416)
净持仓数据",ta2606,4000,0,0,0
2026-05-25,高盛期货,化工,PTA,"净多4933
(增加5416)
净持仓数据",ta2607,10986,1000,0,0
2026-05-25,高盛期货,化工,PTA,"净多4933
(增加5416)
净持仓数据",ta2608,960,0,878,-74
2026-05-25,高盛期货,化工,PTA,"净多4933
(增加5416)
净持仓数据",ta2609,21096,-3943,30896,-8232
2026-05-25,高盛期货,化工,PTA,"净多4933
(增加5416)
净持仓数据",ta2610,0,0,335,-53
2026-05-25,高盛期货,化工,沥青,"净多10308
(减少925)
净持仓数据",bu2609,12916,-925,2608,0
2026-05-25,高盛期货,化工,PVC,"净空27714
(减少7118)
净持仓数据",v2609,0,0,27714,-7118
2026-05-25,高盛期货,化工,苯乙烯,"净多2427
(减少1999)
净持仓数据",eb2607,3692,409,4093,2419
2026-05-25,高盛期货,化工,苯乙烯,"净多2427
(减少1999)
净持仓数据",eb2608,2828,11,0,0
2026-05-25,高盛期货,化工,乙二醇,"净空13800
(减少1283)
净持仓数据",eg2609,0,0,13800,-1283
2026-05-25,高盛期货,化工,塑料,"净空14711
(减少2864)
净持仓数据",l2609,0,0,14711,-3436
2026-05-25,高盛期货,化工,塑料,"净空14711
(减少2864)
净持仓数据",l2701,0,-572,0,0
2026-05-25,高盛期货,化工,甲醇,"净空336
(减少2917)
净持仓数据",ma2609,13661,222,13997,-2695
2026-05-25,高盛期货,化工,20号胶,"净多1306
(增加706)
净持仓数据",nr2607,0,0,891,-192
2026-05-25,高盛期货,化工,20号胶,"净多1306
(增加706)
净持仓数据",nr2608,2197,514,0,0
2026-05-25,高盛期货,化工,短纤,"净空8924
(减少380)
净持仓数据",pf2607,1171,-1746,7476,-3501
2026-05-25,高盛期货,化工,短纤,"净空8924
(减少380)
净持仓数据",pf2608,512,-490,3147,885
2026-05-25,高盛期货,化工,短纤,"净空8924
(减少380)
净持仓数据",pf2610,16,0,0,0
2026-05-25,高盛期货,化工,液化气,"净多5646
(增加390)
净持仓数据",pg2607,4236,90,0,0
2026-05-25,高盛期货,化工,液化气,"净多5646
(增加390)
净持仓数据",pg2608,1410,300,0,0
2026-05-25,高盛期货,原油,燃料油,"净多4939
(减少2252)
净持仓数据",fu2609,4939,-2252,0,0
2026-05-25,高盛期货,原油,低硫油,"净多274
(减少359)
净持仓数据",lu2607,987,-404,713,-45
2026-05-25,高盛期货,国债,二债,"净空425
(减少75)
净持仓数据",ts2606,0,0,425,-75
2026-05-25,高盛期货,有色,沪锡,"净多439
(增加169)
净持仓数据",sn2608,439,169,0,0
2026-05-25,高盛期货,有色,沪铝,"净空6722
(增加149)
净持仓数据",al2607,0,0,5309,-236
2026-05-25,高盛期货,有色,沪铝,"净空6722
(增加149)
净持仓数据",al2608,3721,-118,4507,272
2026-05-25,高盛期货,有色,沪铝,"净空6722
(增加149)
净持仓数据",al2609,0,0,627,-5
2026-05-25,高盛期货,有色,沪铜,"净多4002
(减少716)
净持仓数据",cu2607,3138,-887,0,0
2026-05-25,高盛期货,有色,沪铜,"净多4002
(减少716)
净持仓数据",cu2608,2491,171,0,0
2026-05-25,高盛期货,有色,沪铜,"净多4002
(减少716)
净持仓数据",cu2612,0,0,1627,0
2026-05-25,高盛期货,有色,沪锌,"净多14054
(增加1)
净持仓数据",zn2606,0,-624,0,0
2026-05-25,高盛期货,有色,沪锌,"净多14054
(增加1)
净持仓数据",zn2607,6772,-279,0,0
2026-05-25,高盛期货,有色,沪锌,"净多14054
(增加1)
净持仓数据",zn2608,8332,980,1050,76
2026-05-25,高盛期货,有色,碳酸锂,"净多400
净持仓数据",lc2611,200,0,0,0
2026-05-25,高盛期货,有色,碳酸锂,"净多400
净持仓数据",lc2701,200,0,0,0
2026-05-25,高盛期货,有色,沪镍,"净空3079
(增加122)
净持仓数据",ni2609,0,0,3079,122
2026-05-25,高盛期货,有色,沪铅,"净空5701
(减少1267)
净持仓数据",pb2607,737,69,3235,-1198
2026-05-25,高盛期货,有色,沪铅,"净空5701
(减少1267)
净持仓数据",pb2608,0,0,3203,0
2026-05-25,高盛期货,油脂油料,菜粕,"净多4544
(减少10053)
净持仓数据",rm2608,0,0,125,0
2026-05-25,高盛期货,油脂油料,菜粕,"净多4544
(减少10053)
净持仓数据",rm2609,46712,-6731,37395,2892
2026-05-25,高盛期货,油脂油料,菜粕,"净多4544
(减少10053)
净持仓数据",rm2701,0,0,4648,430
2026-05-25,高盛期货,油脂油料,豆一,"净多10778
(增加7865)
净持仓数据",a2607,13194,3534,5451,-4265
2026-05-25,高盛期货,油脂油料,豆一,"净多10778
(增加7865)
净持仓数据",a2609,3035,66,0,0
2026-05-25,高盛期货,油脂油料,豆二,"净空8820
(增加6470)
净持仓数据",b2607,4854,-2099,10022,4428
2026-05-25,高盛期货,油脂油料,豆二,"净空8820
(增加6470)
净持仓数据",b2609,1875,13,5527,-44
2026-05-25,高盛期货,油脂油料,豆油,"净多34458
(减少3348)
净持仓数据",y2609,40495,-3348,6037,0
2026-05-25,高盛期货,油脂油料,豆粕,"净多48606
(减少19360)
净持仓数据",m2609,48046,-7791,0,0
2026-05-25,高盛期货,油脂油料,豆粕,"净多48606
(减少19360)
净持仓数据",m2611,560,-9,0,0
2026-05-25,高盛期货,油脂油料,豆粕,"净多48606
(减少19360)
净持仓数据",m2701,0,-11560,0,0
2026-05-25,高盛期货,油脂油料,菜油,"净多17051
(减少228)
净持仓数据",oi2607,0,-282,0,0
2026-05-25,高盛期货,油脂油料,菜油,"净多17051
(减少228)
净持仓数据",oi2609,16483,82,0,0
2026-05-25,高盛期货,油脂油料,菜油,"净多17051
(减少228)
净持仓数据",oi2701,663,-28,95,0
2026-05-25,高盛期货,油脂油料,棕榈油,"净空32594
(增加6866)
净持仓数据",p2609,8394,-477,40988,6389
2026-05-25,高盛期货,贵金属,沪银,"净多1841
(减少579)
净持仓数据",ag2606,2027,0,2027,0
2026-05-25,高盛期货,贵金属,沪银,"净多1841
(减少579)
净持仓数据",ag2608,3417,-495,0,0
2026-05-25,高盛期货,贵金属,沪银,"净多1841
(减少579)
净持仓数据",ag2610,0,0,1576,84
2026-05-25,高盛期货,贵金属,沪金,"净空80
(增加29)
净持仓数据",au2610,0,0,80,29
2026-05-25,高盛期货,软商品,白糖,"净空90594
(增加4634)
净持仓数据",sr2609,0,0,90594,4634
2026-05-25,高盛期货,轻工,纸浆,"净空20449
(增加188)
净持仓数据",sp2607,0,0,1948,72
2026-05-25,高盛期货,轻工,纸浆,"净空20449
(增加188)
净持仓数据",sp2609,0,0,18501,116
2026-05-25,高盛期货,轻工,玻璃,"净空114170
(增加688)
净持仓数据",fg2609,0,0,104036,688
2026-05-25,高盛期货,轻工,玻璃,"净空114170
(增加688)
净持仓数据",fg2701,0,0,10134,0
2026-05-25,高盛期货,黑色,螺纹钢,"净多9839
(增加14625)
净持仓数据",rb2610,33887,9757,24048,-4868
2026-05-25,高盛期货,黑色,硅铁,"净多11388
(增加4974)
净持仓数据",sf2607,10167,-1559,0,-5431
2026-05-25,高盛期货,黑色,硅铁,"净多11388
(增加4974)
净持仓数据",sf2609,1221,1102,0,0
2026-05-25,高盛期货,黑色,锰硅,"净空49024
(减少7919)
净持仓数据",sm2607,0,0,44196,-9359
2026-05-25,高盛期货,黑色,锰硅,"净空49024
(减少7919)
净持仓数据",sm2609,0,0,4875,1440
2026-05-25,高盛期货,黑色,锰硅,"净空49024
(减少7919)
净持仓数据",sm2701,47,0,0,0
2026-05-25,高盛期货,黑色,不锈钢,"净多12493
(减少1690)
净持仓数据",ss2607,5232,-1690,0,0
2026-05-25,高盛期货,黑色,不锈钢,"净多12493
(减少1690)
净持仓数据",ss2608,7261,0,0,0
2026-05-25,高盛期货,黑色,热卷,"净多143012
(增加12298)
净持仓数据",hc2610,143012,12298,0,0
2026-05-25,高盛期货,黑色,铁矿石,"净多42991
(增加568)
净持仓数据",i2607,1545,0,1750,0
2026-05-25,高盛期货,黑色,铁矿石,"净多42991
(增加568)
净持仓数据",i2608,0,0,341,0
2026-05-25,高盛期货,黑色,铁矿石,"净多42991
(增加568)
净持仓数据",i2609,42019,589,0,0
2026-05-25,高盛期货,黑色,铁矿石,"净多42991
(增加568)
净持仓数据",i2701,3959,4,2441,25
2026-05-25,摩根大通,农副,花生,"净空9815
(增加787)
净持仓数据",pk2610,0,0,9815,787
2026-05-25,摩根大通,化工,天然橡胶,"净空200
净持仓数据",ru2701,0,0,200,0
2026-05-25,摩根大通,化工,PTA,"净多25828
(减少822)
净持仓数据",ta2609,25828,-822,0,0
2026-05-25,摩根大通,化工,20号胶,"净多5516
(增加1270)
净持仓数据",nr2606,0,-200,0,0
2026-05-25,摩根大通,化工,20号胶,"净多5516
(增加1270)
净持仓数据",nr2607,4316,85,0,-1082
2026-05-25,摩根大通,化工,20号胶,"净多5516
(增加1270)
净持仓数据",nr2608,1200,303,0,0
2026-05-25,摩根大通,原油,低硫油,"净多1505
(减少333)
净持仓数据",lu2607,1505,-333,0,0
2026-05-25,摩根大通,有色,沪锌,"净空2260
净持仓数据",zn2607,0,0,2260,0
2026-05-25,摩根大通,有色,沪镍,"净空558
净持仓数据",ni2609,0,0,558,0
2026-05-25,摩根大通,有色,沪铅,"净空101
净持仓数据",pb2608,0,0,101,0
2026-05-25,摩根大通,油脂油料,菜粕,"净空6852
(增加5872)
净持仓数据",rm2609,18690,-938,25542,4934
2026-05-25,摩根大通,油脂油料,豆油,"净多32206
(减少3464)
净持仓数据",y2607,0,0,317,-300
2026-05-25,摩根大通,油脂油料,豆油,"净多32206
(减少3464)
净持仓数据",y2609,50147,-146,13830,2056
2026-05-25,摩根大通,油脂油料,豆油,"净多32206
(减少3464)
净持仓数据",y2701,0,-1862,3794,-300
2026-05-25,摩根大通,油脂油料,豆一,"净多5874
(增加997)
净持仓数据",a2607,5218,-250,4276,-798
2026-05-25,摩根大通,油脂油料,豆一,"净多5874
(增加997)
净持仓数据",a2609,4932,449,0,0
2026-05-25,摩根大通,油脂油料,豆二,"净空2566
(减少1857)
净持仓数据",b2607,0,0,4855,1409
2026-05-25,摩根大通,油脂油料,豆二,"净空2566
(减少1857)
净持仓数据",b2608,0,0,522,0
2026-05-25,摩根大通,油脂油料,豆二,"净空2566
(减少1857)
净持仓数据",b2609,3142,-656,331,-3922
2026-05-25,摩根大通,油脂油料,豆粕,"净空8979
(增加4558)
净持仓数据",m2609,62611,-546,61895,5245
2026-05-25,摩根大通,油脂油料,豆粕,"净空8979
(增加4558)
净持仓数据",m2611,4100,0,0,0
2026-05-25,摩根大通,油脂油料,豆粕,"净空8979
(增加4558)
净持仓数据",m2701,13391,788,25790,95
2026-05-25,摩根大通,油脂油料,豆粕,"净空8979
(增加4558)
净持仓数据",m2705,879,540,2275,0
2026-05-25,摩根大通,油脂油料,菜油,"净多17070
(增加551)
净持仓数据",oi2609,19828,154,2758,-397
2026-05-25,摩根大通,油脂油料,棕榈油,"净多3651
(增加2140)
净持仓数据",p2607,302,0,0,0
2026-05-25,摩根大通,油脂油料,棕榈油,"净多3651
(增加2140)
净持仓数据",p2609,9817,405,6468,-1735
2026-05-25,摩根大通,股指,500中证,"净空6792
(增加2)
净持仓数据",ic2606,0,0,1903,12
2026-05-25,摩根大通,股指,500中证,"净空6792
(增加2)
净持仓数据",ic2609,0,0,3239,0
2026-05-25,摩根大通,股指,500中证,"净空6792
(增加2)
净持仓数据",ic2612,0,0,1650,-10
2026-05-25,摩根大通,股指,300沪深,"净空7096
(增加15)
净持仓数据",if2609,0,0,4891,15
2026-05-25,摩根大通,股指,300沪深,"净空7096
(增加15)
净持仓数据",if2612,0,0,2205,0
2026-05-25,摩根大通,股指,1000中证,"净空8900
(减少8)
净持仓数据",im2606,0,0,4173,11
2026-05-25,摩根大通,股指,1000中证,"净空8900
(减少8)
净持仓数据",im2609,0,0,3237,-90
2026-05-25,摩根大通,股指,1000中证,"净空8900
(减少8)
净持仓数据",im2612,0,0,1490,71
2026-05-25,摩根大通,谷物,淀粉,"净空100
净持仓数据",cs2611,0,0,100,0
2026-05-25,摩根大通,黑色,铁矿石,"净多25677
(减少555)
净持仓数据",i2609,25872,-550,0,0
2026-05-25,摩根大通,黑色,铁矿石,"净多25677
(减少555)
净持仓数据",i2701,1565,-5,1760,0
2026-05-25,国泰君安,农副,苹果,"净多509
(减少261)
净持仓数据",ap2610,9626,1038,9117,1299
2026-05-25,国泰君安,农副,鸡蛋,"净空16865
(增加12849)
净持仓数据",jd2606,1076,-534,1235,-410
2026-05-25,国泰君安,农副,鸡蛋,"净空16865
(增加12849)
净持仓数据",jd2607,22288,-7606,22802,254
2026-05-25,国泰君安,农副,鸡蛋,"净空16865
(增加12849)
净持仓数据",jd2608,17121,-1712,15929,-430
2026-05-25,国泰君安,农副,鸡蛋,"净空16865
(增加12849)
净持仓数据",jd2609,4338,-1347,7221,1015
2026-05-25,国泰君安,农副,鸡蛋,"净空16865
(增加12849)
净持仓数据",jd2610,8730,-112,12825,394
2026-05-25,国泰君安,农副,鸡蛋,"净空16865
(增加12849)
净持仓数据",jd2611,1443,255,5657,387
2026-05-25,国泰君安,农副,鸡蛋,"净空16865
(增加12849)
净持仓数据",jd2612,1339,-46,5533,-169
2026-05-25,国泰君安,农副,鸡蛋,"净空16865
(增加12849)
净持仓数据",jd2701,1111,-133,4001,700
2026-05-25,国泰君安,农副,鸡蛋,"净空16865
(增加12849)
净持仓数据",jd2702,1339,154,447,27
2026-05-25,国泰君安,农副,花生,"净多2015
(增加3941)
净持仓数据",pk2610,21169,3581,18546,-281
2026-05-25,国泰君安,农副,花生,"净多2015
(增加3941)
净持仓数据",pk2611,204,38,812,-41
2026-05-25,国泰君安,农副,红枣,"净空9217
(减少484)
净持仓数据",cj2607,193,16,863,-328
2026-05-25,国泰君安,农副,红枣,"净空9217
(减少484)
净持仓数据",cj2609,6207,-260,14402,-746
2026-05-25,国泰君安,农副,红枣,"净空9217
(减少484)
净持仓数据",cj2701,990,-109,1342,237
2026-05-25,国泰君安,农副,生猪,"净空17462
(增加999)
净持仓数据",lh2607,11831,-365,15824,22
2026-05-25,国泰君安,农副,生猪,"净空17462
(增加999)
净持仓数据",lh2609,5948,153,11674,825
2026-05-25,国泰君安,农副,生猪,"净空17462
(增加999)
净持仓数据",lh2611,7657,-36,11913,19
2026-05-25,国泰君安,农副,生猪,"净空17462
(增加999)
净持仓数据",lh2701,3238,-79,7235,-206
2026-05-25,国泰君安,农副,生猪,"净空17462
(增加999)
净持仓数据",lh2703,7031,-32,6521,-20
2026-05-25,国泰君安,化工,纯碱,"净空63974
(减少12674)
净持仓数据",sa2609,43240,-207,102244,-11950
2026-05-25,国泰君安,化工,纯碱,"净空63974
(减少12674)
净持仓数据",sa2610,444,44,575,-141
2026-05-25,国泰君安,化工,纯碱,"净空63974
(减少12674)
净持仓数据",sa2611,2283,344,5070,15
2026-05-25,国泰君安,化工,纯碱,"净空63974
(减少12674)
净持仓数据",sa2701,8471,206,12826,-89
2026-05-25,国泰君安,化工,纯碱,"净空63974
(减少12674)
净持仓数据",sa2606,1611,-103,372,-255
2026-05-25,国泰君安,化工,纯碱,"净空63974
(减少12674)
净持仓数据",sa2607,6268,-715,5283,-696
2026-05-25,国泰君安,化工,纯碱,"净空63974
(减少12674)
净持仓数据",sa2608,773,212,694,223
2026-05-25,国泰君安,化工,20号胶,"净空1386
(增加83)
净持仓数据",nr2606,1287,-82,1596,-293
2026-05-25,国泰君安,化工,20号胶,"净空1386
(增加83)
净持仓数据",nr2607,5775,-1131,6444,-689
2026-05-25,国泰君安,化工,20号胶,"净空1386
(增加83)
净持仓数据",nr2608,4244,335,4652,187
2026-05-25,国泰君安,化工,烧碱,"净空19383
(增加1433)
净持仓数据",sh2606,937,-16,446,-182
2026-05-25,国泰君安,化工,烧碱,"净空19383
(增加1433)
净持仓数据",sh2607,10916,134,28170,1708
2026-05-25,国泰君安,化工,烧碱,"净空19383
(增加1433)
净持仓数据",sh2608,1455,261,1721,76
2026-05-25,国泰君安,化工,烧碱,"净空19383
(增加1433)
净持仓数据",sh2609,1626,120,4341,310
