date,broker,category,product,net_position_text,contract,long_position,long_change,short_position,short_change
2026-06-03,高盛期货,农副,花生,"净空10507
(减少1504)
净持仓数据",pk2610,3309,0,14969,-1043
2026-06-03,高盛期货,农副,花生,"净空10507
(减少1504)
净持仓数据",pk2611,1058,380,0,0
2026-06-03,高盛期货,农副,花生,"净空10507
(减少1504)
净持仓数据",pk2612,95,81,0,0
2026-06-03,高盛期货,化工,PTA,"净多17646
(增加8396)
净持仓数据",ta2701,2915,486,0,0
2026-06-03,高盛期货,化工,PTA,"净多17646
(增加8396)
净持仓数据",ta2607,11977,381,0,0
2026-06-03,高盛期货,化工,PTA,"净多17646
(增加8396)
净持仓数据",ta2608,1960,178,0,0
2026-06-03,高盛期货,化工,PTA,"净多17646
(增加8396)
净持仓数据",ta2609,23203,2814,24426,-4060
2026-06-03,高盛期货,化工,PTA,"净多17646
(增加8396)
净持仓数据",ta2610,1017,294,0,0
2026-06-03,高盛期货,化工,PTA,"净多17646
(增加8396)
净持仓数据",ta2611,1000,183,0,0
2026-06-03,高盛期货,化工,沥青,"净多3908
(减少2011)
净持仓数据",bu2609,8440,-816,4532,1195
2026-06-03,高盛期货,化工,PVC,"净空44755
(减少334)
净持仓数据",v2609,0,0,44755,-334
2026-06-03,高盛期货,化工,苯乙烯,"净多17340
(增加2886)
净持仓数据",eb2607,15251,2880,0,0
2026-06-03,高盛期货,化工,苯乙烯,"净多17340
(增加2886)
净持仓数据",eb2608,2089,6,0,0
2026-06-03,高盛期货,化工,乙二醇,"净空11780
(增加804)
净持仓数据",eg2609,0,0,11780,804
2026-06-03,高盛期货,化工,塑料,"净空7440
(增加1369)
净持仓数据",l2609,0,0,7440,1369
2026-06-03,高盛期货,化工,甲醇,"净多20459
(减少1370)
净持仓数据",ma2609,20459,-1370,0,0
2026-06-03,高盛期货,化工,20号胶,"净多2673
(增加1581)
净持仓数据",nr2608,3254,992,829,-527
2026-06-03,高盛期货,化工,20号胶,"净多2673
(增加1581)
净持仓数据",nr2609,248,62,0,0
2026-06-03,高盛期货,化工,短纤,"净空1121
(减少3662)
净持仓数据",pf2607,0,0,0,-1842
2026-06-03,高盛期货,化工,短纤,"净空1121
(减少3662)
净持仓数据",pf2608,3760,2074,4881,254
2026-06-03,高盛期货,化工,液化气,"净多4761
(减少415)
净持仓数据",pg2607,3542,-415,0,0
2026-06-03,高盛期货,化工,液化气,"净多4761
(减少415)
净持仓数据",pg2608,1219,0,0,0
2026-06-03,高盛期货,化工,PP,"净多14969
(减少283)
净持仓数据",pp2609,14969,-283,0,0
2026-06-03,高盛期货,化工,瓶片,"净多946
(增加454)
净持仓数据",pr2607,71,0,98,-285
2026-06-03,高盛期货,化工,瓶片,"净多946
(增加454)
净持仓数据",pr2608,0,0,295,62
2026-06-03,高盛期货,化工,瓶片,"净多946
(增加454)
净持仓数据",pr2609,1268,231,0,0
2026-06-03,高盛期货,化工,对二甲苯,"净空1522
(增加143)
净持仓数据",px2609,3018,7,4714,135
2026-06-03,高盛期货,化工,对二甲苯,"净空1522
(增加143)
净持仓数据",px2701,174,-15,0,0
2026-06-03,高盛期货,化工,天然橡胶,"净多3105
(增加98)
净持仓数据",ru2609,3105,98,0,0
2026-06-03,高盛期货,化工,纯碱,"净空50253
(增加586)
净持仓数据",sa2609,0,0,36304,586
2026-06-03,高盛期货,化工,纯碱,"净空50253
(增加586)
净持仓数据",sa2701,0,0,13949,0
2026-06-03,高盛期货,原油,燃料油,"净空2943
(增加79)
净持仓数据",fu2609,0,0,2943,79
2026-06-03,高盛期货,原油,低硫油,"净空0
(增加554)
净持仓数据",lu2607,0,-554,0,0
2026-06-03,高盛期货,有色,沪铜,"净多3104
(增加440)
净持仓数据",cu2608,4841,533,0,0
2026-06-03,高盛期货,有色,沪铜,"净多3104
(增加440)
净持仓数据",cu2612,0,0,1737,93
2026-06-03,高盛期货,有色,沪锌,"净多14461
(增加1535)
净持仓数据",zn2607,2348,0,2046,474
