date,broker,product,flow_text,flow_direction_cn,flow_direction,flow_value,abs_flow_value,action
2026-06-01,东方财富,氧化铝,"流多 236,700,480",流多,long,236700480,236700480,建仓过程
2026-06-01,东方财富,多晶硅,"流空 152,086,260",流空,short,-152086260,152086260,建仓过程
2026-06-01,东方财富,生猪,"流空 151,918,800",流空,short,-151918800,151918800,建仓过程
2026-06-01,东方财富,鸡蛋,"流空 131,330,040",流空,short,-131330040,131330040,建仓过程
2026-06-01,东方财富,沪锡,"流空 122,326,160",流空,short,-122326160,122326160,建仓过程
2026-06-01,东方财富,三十债,"流多 67,419,300",流多,long,67419300,67419300,建仓过程
2026-06-01,东方财富,烧碱,"流空 53,647,920",流空,short,-53647920,53647920,建仓过程
2026-06-01,东方财富,红枣,"流空 29,161,250",流空,short,-29161250,29161250,建仓过程
2026-06-01,东方财富,沪银,"流空 10,915,800",流空,short,-10915800,10915800,建仓过程
2026-06-01,东方财富,棉花,"流空 9,979,475",流空,short,-9979475,9979475,建仓过程
2026-06-01,东方财富,燃料油,"流空 8,806,900",流空,short,-8806900,8806900,建仓过程
2026-06-01,国泰君安,三十债,"流多 3,086,772,600",流多,long,3086772600,3086772600,建仓过程
2026-06-01,国泰君安,1000中证,"流多 2,355,304,400",流多,long,2355304400,2355304400,建仓过程
2026-06-01,国泰君安,十债,"流多 2,002,083,850",流多,long,2002083850,2002083850,建仓过程
2026-06-01,国泰君安,二债,"流多 1,578,697,280",流多,long,1578697280,1578697280,建仓过程
2026-06-01,国泰君安,300沪深,"流多 1,493,151,600",流多,long,1493151600,1493151600,建仓过程
2026-06-01,国泰君安,500中证,"流多 1,340,586,960",流多,long,1340586960,1340586960,建仓过程
2026-06-01,国泰君安,五债,"流多 1,085,943,850",流多,long,1085943850,1085943850,建仓过程
2026-06-01,国泰君安,焦煤,"流多 923,110,440",流多,long,923110440,923110440,建仓过程
2026-06-01,国泰君安,豆粕,"流空 651,600,500",流空,short,-651600500,651600500,建仓过程
2026-06-01,国泰君安,螺纹钢,"流多 552,876,690",流多,long,552876690,552876690,建仓过程
2026-06-01,国泰君安,棉花,"流多 525,218,025",流多,long,525218025,525218025,建仓过程
2026-06-01,国泰君安,热卷,"流多 431,543,390",流多,long,431543390,431543390,建仓过程
2026-06-01,国泰君安,甲醇,"流多 374,410,250",流多,long,374410250,374410250,建仓过程
2026-06-01,国泰君安,液化气,"流多 293,537,120",流多,long,293537120,293537120,建仓过程
2026-06-01,国泰君安,不锈钢,"流多 292,230,325",流多,long,292230325,292230325,建仓过程
2026-06-01,国泰君安,沪锡,"流多 277,760,600",流多,long,277760600,277760600,建仓过程
2026-06-01,国泰君安,玉米,"流多 277,678,560",流多,long,277678560,277678560,建仓过程
2026-06-01,国泰君安,沪金,"流空 223,942,560",流空,short,-223942560,223942560,建仓过程
2026-06-01,国泰君安,氧化铝,"流多 215,989,580",流多,long,215989580,215989580,建仓过程
2026-06-01,国泰君安,PP,"流空 181,738,275",流空,short,-181738275,181738275,建仓过程
2026-06-01,国泰君安,50上证,"流多 180,320,640",流多,long,180320640,180320640,建仓过程
2026-06-01,国泰君安,菜粕,"流多 180,280,470",流多,long,180280470,180280470,建仓过程
2026-06-01,国泰君安,对二甲苯,"流多 159,349,020",流多,long,159349020,159349020,建仓过程
2026-06-01,国泰君安,沪锌,"流空 156,363,525",流空,short,-156363525,156363525,建仓过程
2026-06-01,国泰君安,棕榈油,"流空 154,654,920",流空,short,-154654920,154654920,建仓过程
2026-06-01,国泰君安,硅铁,"流多 139,706,150",流多,long,139706150,139706150,建仓过程
2026-06-01,国泰君安,豆一,"流多 127,012,990",流多,long,127012990,127012990,建仓过程
2026-06-01,国泰君安,天然橡胶,"流多 122,391,900",流多,long,122391900,122391900,建仓过程
2026-06-01,国泰君安,沪银,"流空 118,920,375",流空,short,-118920375,118920375,建仓过程
2026-06-01,国泰君安,PTA,"流多 117,455,300",流多,long,117455300,117455300,建仓过程
2026-06-01,国泰君安,鸡蛋,"流空 116,334,440",流空,short,-116334440,116334440,建仓过程
2026-06-01,国泰君安,合成橡胶,"流空 106,881,675",流空,short,-106881675,106881675,建仓过程
2026-06-01,国泰君安,碳酸锂,"流空 100,080,380",流空,short,-100080380,100080380,建仓过程
2026-06-01,国泰君安,烧碱,"流多 96,682,170",流多,long,96682170,96682170,建仓过程
2026-06-01,国泰君安,20号胶,"流空 84,884,450",流空,short,-84884450,84884450,建仓过程
2026-06-01,国泰君安,PVC,"流多 83,234,865",流多,long,83234865,83234865,建仓过程
2026-06-01,国泰君安,豆油,"流多 81,306,710",流多,long,81306710,81306710,建仓过程
2026-06-01,国泰君安,焦炭,"流空 70,400,400",流空,short,-70400400,70400400,建仓过程
2026-06-01,国泰君安,沪铝,"流多 68,626,000",流多,long,68626000,68626000,建仓过程
2026-06-01,国泰君安,铁矿石,"流多 59,752,850",流多,long,59752850,59752850,建仓过程
2026-06-01,国泰君安,工业硅,"流多 57,186,400",流多,long,57186400,57186400,建仓过程
2026-06-01,国泰君安,白糖,"流多 57,011,450",流多,long,57011450,57011450,建仓过程
2026-06-01,国泰君安,苯乙烯,"流空 48,680,090",流空,short,-48680090,48680090,建仓过程
2026-06-01,国泰君安,沪铜,"流空 47,106,850",流空,short,-47106850,47106850,建仓过程
2026-06-01,国泰君安,锰硅,"流多 46,213,300",流多,long,46213300,46213300,建仓过程
2026-06-01,国泰君安,塑料,"流多 44,586,405",流多,long,44586405,44586405,建仓过程
2026-06-01,国泰君安,菜油,"流多 41,224,880",流多,long,41224880,41224880,建仓过程
2026-06-01,国泰君安,沪镍,"流空 40,465,920",流空,short,-40465920,40465920,建仓过程
2026-06-01,国泰君安,多晶硅,"流多 39,122,820",流多,long,39122820,39122820,建仓过程
2026-06-01,国泰君安,瓶片,"流空 34,347,210",流空,short,-34347210,34347210,建仓过程
2026-06-01,国泰君安,铝合金,"流空 32,081,900",流空,short,-32081900,32081900,建仓过程
2026-06-01,国泰君安,燃料油,"流空 31,475,920",流空,short,-31475920,31475920,建仓过程
2026-06-01,国泰君安,短纤,"流空 29,564,950",流空,short,-29564950,29564950,建仓过程
2026-06-01,国泰君安,花生,"流多 28,169,060",流多,long,28169060,28169060,建仓过程
2026-06-01,国泰君安,乙二醇,"流多 26,633,400",流多,long,26633400,26633400,建仓过程
2026-06-01,国泰君安,尿素,"流空 24,264,620",流空,short,-24264620,24264620,建仓过程
2026-06-01,国泰君安,纸浆,"流多 19,543,600",流多,long,19543600,19543600,建仓过程
2026-06-01,国泰君安,低硫油,"流空 18,394,200",流空,short,-18394200,18394200,建仓过程
2026-06-01,国泰君安,豆二,"流多 17,784,540",流多,long,17784540,17784540,建仓过程
2026-06-01,国泰君安,纯碱,"流空 14,424,960",流空,short,-14424960,14424960,建仓过程
2026-06-01,国泰君安,红枣,"流空 9,959,150",流空,short,-9959150,9959150,建仓过程
2026-06-01,国泰君安,淀粉,"流多 9,725,710",流多,long,9725710,9725710,建仓过程
2026-06-01,国泰君安,玻璃,"流空 7,152,300",流空,short,-7152300,7152300,建仓过程
2026-06-01,国泰君安,沥青,"流空 6,037,450",流空,short,-6037450,6037450,建仓过程
2026-06-01,国泰君安,棉纱,"流空 5,081,625",流空,short,-5081625,5081625,建仓过程
2026-06-01,徽商期货,棕榈油,"流多 165,320,800",流多,long,165320800,165320800,建仓过程
2026-06-01,徽商期货,沪金,"流空 127,513,920",流空,short,-127513920,127513920,建仓过程
2026-06-01,徽商期货,菜粕,"流空 118,898,410",流空,short,-118898410,118898410,建仓过程
2026-06-01,徽商期货,螺纹钢,"流空 79,288,730",流空,short,-79288730,79288730,建仓过程
2026-06-01,徽商期货,焦煤,"流空 78,680,310",流空,short,-78680310,78680310,建仓过程
2026-06-01,徽商期货,烧碱,"流空 75,893,730",流空,short,-75893730,75893730,建仓过程
2026-06-01,徽商期货,沪铜,"流多 65,948,400",流多,long,65948400,65948400,建仓过程
2026-06-01,徽商期货,纯碱,"流空 48,706,400",流空,short,-48706400,48706400,建仓过程
2026-06-01,徽商期货,豆油,"流多 42,990,050",流多,long,42990050,42990050,建仓过程
2026-06-01,徽商期货,PVC,"流空 37,401,765",流空,short,-37401765,37401765,建仓过程
2026-06-01,徽商期货,白糖,"流空 36,561,900",流空,short,-36561900,36561900,建仓过程
2026-06-01,徽商期货,焦炭,"流空 33,524,000",流空,short,-33524000,33524000,建仓过程
2026-06-01,徽商期货,氧化铝,"流空 31,883,520",流空,short,-31883520,31883520,建仓过程
2026-06-01,徽商期货,豆二,"流多 30,905,170",流多,long,30905170,30905170,建仓过程
2026-06-01,徽商期货,豆一,"流空 29,774,880",流空,short,-29774880,29774880,建仓过程
2026-06-01,徽商期货,纸浆,"流多 28,606,500",流多,long,28606500,28606500,建仓过程
2026-06-01,徽商期货,PP,"流空 26,809,195",流空,short,-26809195,26809195,建仓过程
2026-06-01,徽商期货,棉花,"流多 26,039,550",流多,long,26039550,26039550,建仓过程
2026-06-01,徽商期货,液化气,"流空 25,610,000",流空,short,-25610000,25610000,建仓过程
2026-06-01,徽商期货,沪银,"流空 25,106,340",流空,short,-25106340,25106340,建仓过程
2026-06-01,徽商期货,尿素,"流多 22,603,880",流多,long,22603880,22603880,建仓过程
2026-06-01,徽商期货,生猪,"流空 20,474,560",流空,short,-20474560,20474560,建仓过程
2026-06-01,徽商期货,红枣,"流多 17,555,175",流多,long,17555175,17555175,建仓过程
2026-06-01,徽商期货,多晶硅,"流空 13,303,320",流空,short,-13303320,13303320,建仓过程
2026-06-01,徽商期货,燃料油,"流多 12,108,620",流多,long,12108620,12108620,建仓过程
2026-06-01,徽商期货,对二甲苯,"流空 11,994,280",流空,short,-11994280,11994280,建仓过程
2026-06-01,徽商期货,棉纱,"流空 11,744,200",流空,short,-11744200,11744200,建仓过程
2026-06-01,徽商期货,苹果,"流多 10,709,270",流多,long,10709270,10709270,建仓过程
2026-06-01,徽商期货,甲醇,"流多 10,303,390",流多,long,10303390,10303390,建仓过程
2026-06-01,摩根大通,棕榈油,"流多 880,106,040",流多,long,880106040,880106040,建仓过程
2026-06-01,摩根大通,豆粕,"流空 202,330,250",流空,short,-202330250,202330250,建仓过程
2026-06-01,摩根大通,豆油,"流空 174,623,350",流空,short,-174623350,174623350,建仓过程
2026-06-01,摩根大通,铁矿石,"流空 154,381,600",流空,short,-154381600,154381600,建仓过程
2026-06-01,摩根大通,1000中证,"流空 103,850,800",流空,short,-103850800,103850800,建仓过程
2026-06-01,摩根大通,沪镍,"流空 100,142,880",流空,short,-100142880,100142880,建仓过程
2026-06-01,摩根大通,PTA,"流多 86,251,040",流多,long,86251040,86251040,建仓过程
2026-06-01,摩根大通,20号胶,"流多 86,007,400",流多,long,86007400,86007400,建仓过程
2026-06-01,摩根大通,对二甲苯,"流多 78,592,140",流多,long,78592140,78592140,建仓过程
2026-06-01,摩根大通,菜粕,"流多 52,945,200",流多,long,52945200,52945200,建仓过程
2026-06-01,摩根大通,菜油,"流多 49,640,000",流多,long,49640000,49640000,建仓过程
2026-06-01,摩根大通,花生,"流空 45,265,800",流空,short,-45265800,45265800,建仓过程
2026-06-01,摩根大通,豆一,"流空 43,773,170",流空,short,-43773170,43773170,建仓过程
2026-06-01,摩根大通,沪锌,"流空 36,454,625",流空,short,-36454625,36454625,建仓过程
2026-06-01,摩根大通,豆二,"流空 27,247,680",流空,short,-27247680,27247680,建仓过程
2026-06-01,摩根大通,500中证,"流空 19,328,640",流空,short,-19328640,19328640,建仓过程
2026-06-01,高盛期货,棕榈油,"流多 434,061,960",流多,long,434061960,434061960,建仓过程
2026-06-01,高盛期货,热卷,"流多 348,192,500",流多,long,348192500,348192500,建仓过程
2026-06-01,高盛期货,豆粕,"流空 347,603,250",流空,short,-347603250,347603250,建仓过程
2026-06-01,高盛期货,白糖,"流多 272,849,360",流多,long,272849360,272849360,建仓过程
2026-06-01,高盛期货,豆一,"流空 213,901,540",流空,short,-213901540,213901540,建仓过程
2026-06-01,高盛期货,玻璃,"流多 201,842,600",流多,long,201842600,201842600,建仓过程
2026-06-01,高盛期货,豆油,"流多 185,607,030",流多,long,185607030,185607030,建仓过程
2026-06-01,高盛期货,PP,"流多 179,814,120",流多,long,179814120,179814120,建仓过程
2026-06-01,高盛期货,20号胶,"流空 176,280,300",流空,short,-176280300,176280300,建仓过程
2026-06-01,高盛期货,PTA,"流多 175,068,260",流多,long,175068260,175068260,建仓过程
2026-06-01,高盛期货,PVC,"流多 172,342,600",流多,long,172342600,172342600,建仓过程
2026-06-01,高盛期货,不锈钢,"流空 170,644,950",流空,short,-170644950,170644950,建仓过程
2026-06-01,高盛期货,沪铝,"流多 164,754,450",流多,long,164754450,164754450,建仓过程
2026-06-01,高盛期货,铁矿石,"流空 148,186,650",流空,short,-148186650,148186650,建仓过程
2026-06-01,高盛期货,纯碱,"流多 140,204,720",流多,long,140204720,140204720,建仓过程
2026-06-01,高盛期货,甲醇,"流多 131,814,500",流多,long,131814500,131814500,建仓过程
2026-06-01,高盛期货,碳酸锂,"流空 111,972,440",流空,short,-111972440,111972440,建仓过程
2026-06-01,高盛期货,沪锌,"流空 102,022,925",流空,short,-102022925,102022925,建仓过程
2026-06-01,高盛期货,沪锡,"流多 100,297,080",流多,long,100297080,100297080,建仓过程
2026-06-01,高盛期货,沪铅,"流空 75,530,000",流空,short,-75530000,75530000,建仓过程
2026-06-01,高盛期货,菜油,"流多 73,063,960",流多,long,73063960,73063960,建仓过程
2026-06-01,高盛期货,豆二,"流空 69,293,880",流空,short,-69293880,69293880,建仓过程
2026-06-01,高盛期货,沪镍,"流空 65,205,520",流空,short,-65205520,65205520,建仓过程
2026-06-01,高盛期货,沥青,"流多 62,199,160",流多,long,62199160,62199160,建仓过程
2026-06-01,高盛期货,沪银,"流多 61,914,720",流多,long,61914720,61914720,建仓过程
2026-06-01,高盛期货,燃料油,"流空 47,053,880",流空,short,-47053880,47053880,建仓过程
2026-06-01,高盛期货,沪铜,"流空 45,579,300",流空,short,-45579300,45579300,建仓过程
2026-06-01,高盛期货,硅铁,"流多 39,269,800",流多,long,39269800,39269800,建仓过程
2026-06-01,高盛期货,天然橡胶,"流多 30,643,200",流多,long,30643200,30643200,建仓过程
2026-06-01,高盛期货,短纤,"流空 29,605,720",流空,short,-29605720,29605720,建仓过程
2026-06-01,高盛期货,瓶片,"流空 28,909,320",流空,short,-28909320,28909320,建仓过程
2026-06-01,高盛期货,苯乙烯,"流多 24,418,560",流多,long,24418560,24418560,建仓过程
2026-06-01,高盛期货,乙二醇,"流多 23,290,800",流多,long,23290800,23290800,建仓过程
2026-06-01,高盛期货,纸浆,"流多 15,256,800",流多,long,15256800,15256800,建仓过程
2026-06-01,高盛期货,液化气,"流多 12,334,320",流多,long,12334320,12334320,建仓过程
2026-06-01,高盛期货,锰硅,"流多 11,219,790",流多,long,11219790,11219790,建仓过程
2026-06-01,高盛期货,螺纹钢,"流多 6,409,460",流多,long,6409460,6409460,建仓过程
