date,broker,product,flow_text,flow_direction_cn,flow_direction,flow_value,abs_flow_value,action
2026-05-27,东方财富,玻璃,"流空 499,789,460",流空,short,-499789460,499789460,建仓过程
2026-05-27,东方财富,鸡蛋,"流空 231,325,960",流空,short,-231325960,231325960,建仓过程
2026-05-27,东方财富,生猪,"流多 174,726,800",流多,long,174726800,174726800,建仓过程
2026-05-27,东方财富,沪锡,"流多 97,856,220",流多,long,97856220,97856220,建仓过程
2026-05-27,东方财富,氧化铝,"流多 50,833,440",流多,long,50833440,50833440,建仓过程
2026-05-27,东方财富,沪银,"流空 36,981,315",流空,short,-36981315,36981315,建仓过程
2026-05-27,东方财富,多晶硅,"流空 35,388,465",流空,short,-35388465,35388465,建仓过程
2026-05-27,东方财富,燃料油,"流多 28,362,780",流多,long,28362780,28362780,建仓过程
2026-05-27,东方财富,玉米,"流多 20,958,970",流多,long,20958970,20958970,建仓过程
2026-05-27,东方财富,烧碱,"流空 16,607,100",流空,short,-16607100,16607100,建仓过程
2026-05-27,东方财富,不锈钢,"流空 12,350,400",流空,short,-12350400,12350400,建仓过程
2026-05-27,国泰君安,500中证,"流空 5,067,536,400",流空,short,-5067536400,5067536400,建仓过程
2026-05-27,国泰君安,十债,"流空 3,400,259,250",流空,short,-3400259250,3400259250,建仓过程
2026-05-27,国泰君安,1000中证,"流空 2,308,522,520",流空,short,-2308522520,2308522520,建仓过程
2026-05-27,国泰君安,300沪深,"流空 1,122,890,820",流空,short,-1122890820,1122890820,建仓过程
2026-05-27,国泰君安,碳酸锂,"流空 752,471,340",流空,short,-752471340,752471340,建仓过程
2026-05-27,国泰君安,沪锡,"流空 747,557,010",流空,short,-747557010,747557010,建仓过程
2026-05-27,国泰君安,沪镍,"流多 721,552,580",流多,long,721552580,721552580,建仓过程
2026-05-27,国泰君安,三十债,"流多 587,069,900",流多,long,587069900,587069900,建仓过程
2026-05-27,国泰君安,焦煤,"流多 470,601,300",流多,long,470601300,470601300,建仓过程
2026-05-27,国泰君安,对二甲苯,"流多 424,250,560",流多,long,424250560,424250560,建仓过程
2026-05-27,国泰君安,多晶硅,"流多 407,328,915",流多,long,407328915,407328915,建仓过程
2026-05-27,国泰君安,PVC,"流多 384,508,530",流多,long,384508530,384508530,建仓过程
2026-05-27,国泰君安,二债,"流多 365,283,840",流多,long,365283840,365283840,建仓过程
2026-05-27,国泰君安,生猪,"流多 361,340,800",流多,long,361340800,361340800,建仓过程
2026-05-27,国泰君安,热卷,"流多 321,432,570",流多,long,321432570,321432570,建仓过程
2026-05-27,国泰君安,苯乙烯,"流多 313,218,290",流多,long,313218290,313218290,建仓过程
2026-05-27,国泰君安,沪铝,"流空 311,112,725",流空,short,-311112725,311112725,建仓过程
2026-05-27,国泰君安,沪银,"流空 285,771,870",流空,short,-285771870,285771870,建仓过程
2026-05-27,国泰君安,豆粕,"流多 269,930,910",流多,long,269930910,269930910,建仓过程
2026-05-27,国泰君安,烧碱,"流多 240,684,210",流多,long,240684210,240684210,建仓过程
2026-05-27,国泰君安,PTA,"流多 226,029,260",流多,long,226029260,226029260,建仓过程
2026-05-27,国泰君安,沪铜,"流空 199,529,500",流空,short,-199529500,199529500,建仓过程
2026-05-27,国泰君安,氧化铝,"流空 183,545,160",流空,short,-183545160,183545160,建仓过程
2026-05-27,国泰君安,PP,"流多 181,405,265",流多,long,181405265,181405265,建仓过程
2026-05-27,国泰君安,玻璃,"流多 158,233,260",流多,long,158233260,158233260,建仓过程
2026-05-27,国泰君安,沪金,"流多 155,167,700",流多,long,155167700,155167700,建仓过程
2026-05-27,国泰君安,棕榈油,"流多 152,552,480",流多,long,152552480,152552480,建仓过程
2026-05-27,国泰君安,鸡蛋,"流空 148,245,680",流空,short,-148245680,148245680,建仓过程
2026-05-27,国泰君安,合成橡胶,"流多 122,732,625",流多,long,122732625,122732625,建仓过程
2026-05-27,国泰君安,塑料,"流多 115,809,680",流多,long,115809680,115809680,建仓过程
2026-05-27,国泰君安,乙二醇,"流多 113,223,170",流多,long,113223170,113223170,建仓过程
2026-05-27,国泰君安,沪铅,"流空 111,068,250",流空,short,-111068250,111068250,建仓过程
2026-05-27,国泰君安,白糖,"流多 86,792,180",流多,long,86792180,86792180,建仓过程
2026-05-27,国泰君安,花生,"流多 82,860,680",流多,long,82860680,82860680,建仓过程
2026-05-27,国泰君安,尿素,"流多 78,788,740",流多,long,78788740,78788740,建仓过程
2026-05-27,国泰君安,纯碱,"流多 77,955,320",流多,long,77955320,77955320,建仓过程
2026-05-27,国泰君安,硅铁,"流多 74,121,710",流多,long,74121710,74121710,建仓过程
2026-05-27,国泰君安,甲醇,"流多 71,765,670",流多,long,71765670,71765670,建仓过程
2026-05-27,国泰君安,棉花,"流空 59,439,350",流空,short,-59439350,59439350,建仓过程
2026-05-27,国泰君安,豆一,"流多 56,886,850",流多,long,56886850,56886850,建仓过程
2026-05-27,国泰君安,红枣,"流多 54,317,050",流多,long,54317050,54317050,建仓过程
2026-05-27,国泰君安,沪锌,"流空 54,165,000",流空,short,-54165000,54165000,建仓过程
2026-05-27,国泰君安,短纤,"流空 53,149,890",流空,short,-53149890,53149890,建仓过程
2026-05-27,国泰君安,天然橡胶,"流多 52,092,600",流多,long,52092600,52092600,建仓过程
2026-05-27,国泰君安,豆油,"流多 52,070,430",流多,long,52070430,52070430,建仓过程
2026-05-27,国泰君安,不锈钢,"流多 49,959,425",流多,long,49959425,49959425,建仓过程
2026-05-27,国泰君安,丙烯,"流多 39,889,100",流多,long,39889100,39889100,建仓过程
2026-05-27,国泰君安,燃料油,"流空 39,757,470",流空,short,-39757470,39757470,建仓过程
2026-05-27,国泰君安,五债,"流多 38,031,950",流多,long,38031950,38031950,建仓过程
2026-05-27,国泰君安,豆二,"流多 37,541,080",流多,long,37541080,37541080,建仓过程
2026-05-27,国泰君安,20号胶,"流空 37,140,800",流空,short,-37140800,37140800,建仓过程
2026-05-27,国泰君安,铁矿石,"流空 36,969,500",流空,short,-36969500,36969500,建仓过程
2026-05-27,国泰君安,铝合金,"流多 36,442,900",流多,long,36442900,36442900,建仓过程
2026-05-27,国泰君安,菜粕,"流多 35,358,280",流多,long,35358280,35358280,建仓过程
2026-05-27,国泰君安,菜油,"流多 35,004,620",流多,long,35004620,35004620,建仓过程
2026-05-27,国泰君安,焦炭,"流多 33,888,400",流多,long,33888400,33888400,建仓过程
2026-05-27,国泰君安,淀粉,"流空 32,903,920",流空,short,-32903920,32903920,建仓过程
2026-05-27,国泰君安,纸浆,"流多 31,220,980",流多,long,31220980,31220980,建仓过程
2026-05-27,国泰君安,低硫油,"流多 28,037,040",流多,long,28037040,28037040,建仓过程
2026-05-27,国泰君安,液化气,"流多 28,031,020",流多,long,28031020,28031020,建仓过程
2026-05-27,国泰君安,50上证,"流空 21,616,080",流空,short,-21616080,21616080,建仓过程
2026-05-27,国泰君安,锰硅,"流空 17,394,020",流空,short,-17394020,17394020,建仓过程
