date,broker,product,flow_text,flow_direction_cn,flow_direction,flow_value,abs_flow_value,action
2026-06-12,东方财富,生猪,"流空 543,705,920",流空,short,-543705920,543705920,建仓过程
2026-06-12,东方财富,燃料油,"流多 142,779,470",流多,long,142779470,142779470,建仓过程
2026-06-12,东方财富,沪银,"流空 139,384,650",流空,short,-139384650,139384650,建仓过程
2026-06-12,东方财富,氧化铝,"流空 80,179,680",流空,short,-80179680,80179680,建仓过程
2026-06-12,东方财富,沪锡,"流空 53,227,920",流空,short,-53227920,53227920,建仓过程
2026-06-12,东方财富,烧碱,"流空 48,906,210",流空,short,-48906210,48906210,建仓过程
2026-06-12,东方财富,玻璃,"流多 27,294,320",流多,long,27294320,27294320,建仓过程
2026-06-12,东方财富,淀粉,"流多 23,302,820",流多,long,23302820,23302820,建仓过程
2026-06-12,东方财富,苹果,"流空 12,485,800",流空,short,-12485800,12485800,建仓过程
2026-06-12,东方财富,硅铁,"流空 10,578,900",流空,short,-10578900,10578900,建仓过程
2026-06-12,东方财富,鸡蛋,"流空 10,519,080",流空,short,-10519080,10519080,建仓过程
2026-06-12,东方财富,红枣,"流多 8,419,550",流多,long,8419550,8419550,建仓过程
2026-06-12,国泰君安,300沪深,"流多 3,114,934,140",流多,long,3114934140,3114934140,建仓过程
2026-06-12,国泰君安,十债,"流空 1,947,166,800",流空,short,-1947166800,1947166800,建仓过程
2026-06-12,国泰君安,沪铜,"流多 1,509,405,650",流多,long,1509405650,1509405650,建仓过程
2026-06-12,国泰君安,1000中证,"流多 1,360,713,520",流多,long,1360713520,1360713520,建仓过程
2026-06-12,国泰君安,二债,"流多 1,094,913,600",流多,long,1094913600,1094913600,建仓过程
2026-06-12,国泰君安,50上证,"流多 1,003,722,960",流多,long,1003722960,1003722960,建仓过程
2026-06-12,国泰君安,五债,"流多 947,960,150",流多,long,947960150,947960150,建仓过程
2026-06-12,国泰君安,500中证,"流多 843,687,520",流多,long,843687520,843687520,建仓过程
2026-06-12,国泰君安,鸡蛋,"流多 706,378,840",流多,long,706378840,706378840,建仓过程
2026-06-12,国泰君安,生猪,"流多 593,269,440",流多,long,593269440,593269440,建仓过程
2026-06-12,国泰君安,焦煤,"流空 412,978,710",流空,short,-412978710,412978710,建仓过程
2026-06-12,国泰君安,沪锡,"流多 396,442,680",流多,long,396442680,396442680,建仓过程
2026-06-12,国泰君安,热卷,"流空 374,456,160",流空,short,-374456160,374456160,建仓过程
2026-06-12,国泰君安,对二甲苯,"流空 317,952,700",流空,short,-317952700,317952700,建仓过程
2026-06-12,国泰君安,烧碱,"流空 283,995,120",流空,short,-283995120,283995120,建仓过程
2026-06-12,国泰君安,沪金,"流空 256,862,400",流空,short,-256862400,256862400,建仓过程
2026-06-12,国泰君安,PTA,"流多 238,731,810",流多,long,238731810,238731810,建仓过程
2026-06-12,国泰君安,塑料,"流多 227,509,820",流多,long,227509820,227509820,建仓过程
2026-06-12,国泰君安,PP,"流多 178,642,835",流多,long,178642835,178642835,建仓过程
2026-06-12,国泰君安,三十债,"流多 148,349,800",流多,long,148349800,148349800,建仓过程
2026-06-12,国泰君安,碳酸锂,"流多 145,956,380",流多,long,145956380,145956380,建仓过程
2026-06-12,国泰君安,白糖,"流多 143,410,210",流多,long,143410210,143410210,建仓过程
2026-06-12,国泰君安,铁矿石,"流空 141,372,700",流空,short,-141372700,141372700,建仓过程
2026-06-12,国泰君安,菜油,"流空 123,411,590",流空,short,-123411590,123411590,建仓过程
2026-06-12,国泰君安,沪镍,"流空 119,522,420",流空,short,-119522420,119522420,建仓过程
2026-06-12,国泰君安,锰硅,"流空 99,241,570",流空,short,-99241570,99241570,建仓过程
2026-06-12,国泰君安,棕榈油,"流空 96,597,140",流空,short,-96597140,96597140,建仓过程
2026-06-12,国泰君安,苹果,"流空 96,247,140",流空,short,-96247140,96247140,建仓过程
2026-06-12,国泰君安,甲醇,"流多 95,388,190",流多,long,95388190,95388190,建仓过程
