date,broker,product,flow_text,flow_direction_cn,flow_direction,flow_value,abs_flow_value,action
2026-06-10,东方财富,生猪,"流空 197,022,320",流空,short,-197022320,197022320,建仓过程
2026-06-10,东方财富,玉米,"流空 184,217,810",流空,short,-184217810,184217810,建仓过程
2026-06-10,东方财富,烧碱,"流空 90,538,380",流空,short,-90538380,90538380,建仓过程
2026-06-10,东方财富,氧化铝,"流空 86,728,320",流空,short,-86728320,86728320,建仓过程
2026-06-10,东方财富,鸡蛋,"流多 35,279,500",流多,long,35279500,35279500,建仓过程
2026-06-10,东方财富,玻璃,"流多 28,410,240",流多,long,28410240,28410240,建仓过程
2026-06-10,东方财富,纯碱,"流空 18,297,720",流空,short,-18297720,18297720,建仓过程
2026-06-10,东方财富,淀粉,"流多 15,151,500",流多,long,15151500,15151500,建仓过程
2026-06-10,东方财富,沪银,"流多 12,540,330",流多,long,12540330,12540330,建仓过程
2026-06-10,东方财富,沪锡,"流多 11,996,100",流多,long,11996100,11996100,建仓过程
2026-06-10,东方财富,燃料油,"流多 10,693,840",流多,long,10693840,10693840,建仓过程
2026-06-10,国泰君安,500中证,"流空 2,456,070,320",流空,short,-2456070320,2456070320,建仓过程
2026-06-10,国泰君安,十债,"流空 1,980,435,100",流空,short,-1980435100,1980435100,建仓过程
2026-06-10,国泰君安,沪金,"流空 1,769,813,520",流空,short,-1769813520,1769813520,建仓过程
2026-06-10,国泰君安,五债,"流空 1,068,271,400",流空,short,-1068271400,1068271400,建仓过程
2026-06-10,国泰君安,三十债,"流空 1,001,856,900",流空,short,-1001856900,1001856900,建仓过程
2026-06-10,国泰君安,二债,"流空 863,572,040",流空,short,-863572040,863572040,建仓过程
2026-06-10,国泰君安,棕榈油,"流多 747,297,530",流多,long,747297530,747297530,建仓过程
2026-06-10,国泰君安,50上证,"流多 701,071,980",流多,long,701071980,701071980,建仓过程
2026-06-10,国泰君安,沪铜,"流空 644,812,700",流空,short,-644812700,644812700,建仓过程
2026-06-10,国泰君安,300沪深,"流多 514,234,440",流多,long,514234440,514234440,建仓过程
2026-06-10,国泰君安,1000中证,"流空 503,670,920",流空,short,-503670920,503670920,建仓过程
2026-06-10,国泰君安,多晶硅,"流多 443,300,370",流多,long,443300370,443300370,建仓过程
2026-06-10,国泰君安,PP,"流多 401,525,375",流多,long,401525375,401525375,建仓过程
2026-06-10,国泰君安,热卷,"流空 381,759,040",流空,short,-381759040,381759040,建仓过程
2026-06-10,国泰君安,生猪,"流空 364,068,560",流空,short,-364068560,364068560,建仓过程
2026-06-10,国泰君安,沪铝,"流多 357,928,200",流多,long,357928200,357928200,建仓过程
2026-06-10,国泰君安,氧化铝,"流多 322,985,600",流多,long,322985600,322985600,建仓过程
2026-06-10,国泰君安,对二甲苯,"流空 291,834,780",流空,short,-291834780,291834780,建仓过程
2026-06-10,国泰君安,铁矿石,"流空 266,814,000",流空,short,-266814000,266814000,建仓过程
2026-06-10,国泰君安,棉花,"流多 252,075,725",流多,long,252075725,252075725,建仓过程
2026-06-10,国泰君安,烧碱,"流多 216,873,180",流多,long,216873180,216873180,建仓过程
