date,broker,category,product,net_position_text,contract,long_position,long_change,short_position,short_change
2026-05-19,高盛期货,农副,花生,"净空12320
(增加1386)
净持仓数据",pk2611,445,-50,0,0
2026-05-19,高盛期货,农副,花生,"净空12320
(增加1386)
净持仓数据",pk2610,0,0,12765,1336
2026-05-19,高盛期货,化工,PP,"净多11181
(增加133)
净持仓数据",pp2609,11181,133,0,0
2026-05-19,高盛期货,化工,瓶片,"净多938
(增加479)
净持仓数据",pr2607,1764,-42,826,-521
2026-05-19,高盛期货,化工,对二甲苯,"净多2141
(增加103)
净持仓数据",px2609,5690,-345,3549,-448
2026-05-19,高盛期货,化工,纯碱,"净空64151
(增加1577)
净持仓数据",sa2609,0,0,50971,473
2026-05-19,高盛期货,化工,纯碱,"净空64151
(增加1577)
净持仓数据",sa2701,0,0,13180,1104
2026-05-19,高盛期货,化工,PTA,"净多14402
(减少9192)
净持仓数据",ta2606,4163,0,0,0
2026-05-19,高盛期货,化工,PTA,"净多14402
(减少9192)
净持仓数据",ta2607,9986,-446,0,0
2026-05-19,高盛期货,化工,PTA,"净多14402
(减少9192)
净持仓数据",ta2608,1092,364,0,0
2026-05-19,高盛期货,化工,PTA,"净多14402
(减少9192)
净持仓数据",ta2609,27956,232,27336,5763
2026-05-19,高盛期货,化工,PTA,"净多14402
(减少9192)
净持仓数据",ta2610,258,-539,0,0
2026-05-19,高盛期货,化工,PTA,"净多14402
(减少9192)
净持仓数据",ta2701,2178,-2719,3895,321
2026-05-19,高盛期货,化工,PVC,"净空33570
(增加12238)
净持仓数据",v2609,0,0,33570,12238
2026-05-19,高盛期货,化工,沥青,"净多14379
(增加1740)
净持仓数据",bu2609,14379,1740,0,0
2026-05-19,高盛期货,化工,苯乙烯,"净多6106
(减少750)
净持仓数据",eb2607,5301,-1551,0,0
2026-05-19,高盛期货,化工,苯乙烯,"净多6106
(减少750)
净持仓数据",eb2608,805,801,0,0
2026-05-19,高盛期货,化工,乙二醇,"净空12988
(增加2198)
净持仓数据",eg2609,0,0,12988,2198
2026-05-19,高盛期货,化工,塑料,"净空19786
(增加6375)
净持仓数据",l2609,0,0,19786,6375
2026-05-19,高盛期货,化工,甲醇,"净空8893
(增加3693)
净持仓数据",ma2609,12110,-287,21003,3406
2026-05-19,高盛期货,化工,20号胶,"净多2752
(增加38)
净持仓数据",nr2607,1119,-326,0,0
2026-05-19,高盛期货,化工,20号胶,"净多2752
(增加38)
净持仓数据",nr2608,1633,364,0,0
