date,broker,product,flow_text,flow_direction_cn,flow_direction,flow_value,abs_flow_value,action
2026-06-02,东方财富,鸡蛋,"流多 502,855,680",流多,long,502855680,502855680,建仓过程
2026-06-02,东方财富,1000中证,"流多 373,722,640",流多,long,373722640,373722640,建仓过程
2026-06-02,东方财富,沪锡,"流空 159,267,780",流空,short,-159267780,159267780,建仓过程
2026-06-02,东方财富,生猪,"流多 34,655,360",流多,long,34655360,34655360,建仓过程
2026-06-02,东方财富,多晶硅,"流多 32,303,580",流多,long,32303580,32303580,建仓过程
2026-06-02,东方财富,氧化铝,"流多 24,667,200",流多,long,24667200,24667200,建仓过程
2026-06-02,东方财富,沪银,"流空 18,538,500",流空,short,-18538500,18538500,建仓过程
2026-06-02,东方财富,红枣,"流多 17,743,075",流多,long,17743075,17743075,建仓过程
2026-06-02,东方财富,燃料油,"流多 14,634,940",流多,long,14634940,14634940,建仓过程
2026-06-02,东方财富,烧碱,"流空 6,511,680",流空,short,-6511680,6511680,建仓过程
2026-06-02,国泰君安,二债,"流空 2,876,478,760",流空,short,-2876478760,2876478760,建仓过程
2026-06-02,国泰君安,1000中证,"流空 2,713,385,000",流空,short,-2713385000,2713385000,建仓过程
2026-06-02,国泰君安,沪铜,"流多 1,577,112,000",流多,long,1577112000,1577112000,建仓过程
2026-06-02,国泰君安,300沪深,"流多 1,156,560,000",流多,long,1156560000,1156560000,建仓过程
2026-06-02,国泰君安,十债,"流空 1,094,889,000",流空,short,-1094889000,1094889000,建仓过程
2026-06-02,国泰君安,沪铝,"流多 1,036,645,375",流多,long,1036645375,1036645375,建仓过程
2026-06-02,国泰君安,沪银,"流多 795,893,550",流多,long,795893550,795893550,建仓过程
2026-06-02,国泰君安,500中证,"流空 754,229,720",流空,short,-754229720,754229720,建仓过程
2026-06-02,国泰君安,五债,"流空 633,347,750",流空,short,-633347750,633347750,建仓过程
2026-06-02,国泰君安,三十债,"流多 614,718,800",流多,long,614718800,614718800,建仓过程
2026-06-02,国泰君安,螺纹钢,"流多 311,156,040",流多,long,311156040,311156040,建仓过程
2026-06-02,国泰君安,沪锌,"流多 309,151,475",流多,long,309151475,309151475,建仓过程
2026-06-02,国泰君安,焦煤,"流空 294,033,630",流空,short,-294033630,294033630,建仓过程
2026-06-02,国泰君安,棕榈油,"流空 291,644,760",流空,short,-291644760,291644760,建仓过程
2026-06-02,国泰君安,20号胶,"流多 237,304,700",流多,long,237304700,237304700,建仓过程
2026-06-02,国泰君安,玻璃,"流空 234,306,780",流空,short,-234306780,234306780,建仓过程
2026-06-02,国泰君安,沥青,"流空 232,170,570",流空,short,-232170570,232170570,建仓过程
2026-06-02,国泰君安,碳酸锂,"流多 209,266,000",流多,long,209266000,209266000,建仓过程
2026-06-02,国泰君安,鸡蛋,"流空 209,124,440",流空,short,-209124440,209124440,建仓过程
2026-06-02,国泰君安,50上证,"流空 205,737,300",流空,short,-205737300,205737300,建仓过程
2026-06-02,国泰君安,生猪,"流空 203,760,000",流空,short,-203760000,203760000,建仓过程
2026-06-02,国泰君安,PVC,"流空 201,146,915",流空,short,-201146915,201146915,建仓过程
2026-06-02,国泰君安,甲醇,"流空 193,427,640",流空,short,-193427640,193427640,建仓过程
2026-06-02,国泰君安,豆油,"流多 164,380,420",流多,long,164380420,164380420,建仓过程
2026-06-02,国泰君安,合成橡胶,"流空 162,962,725",流空,short,-162962725,162962725,建仓过程
2026-06-02,国泰君安,沪金,"流多 156,160,360",流多,long,156160360,156160360,建仓过程
2026-06-02,国泰君安,玉米,"流多 153,791,600",流多,long,153791600,153791600,建仓过程
2026-06-02,国泰君安,白糖,"流空 151,767,230",流空,short,-151767230,151767230,建仓过程
2026-06-02,国泰君安,多晶硅,"流空 144,347,610",流空,short,-144347610,144347610,建仓过程
2026-06-02,国泰君安,PP,"流多 141,571,595",流多,long,141571595,141571595,建仓过程
2026-06-02,国泰君安,热卷,"流空 129,404,880",流空,short,-129404880,129404880,建仓过程
2026-06-02,国泰君安,菜油,"流多 126,498,740",流多,long,126498740,126498740,建仓过程
2026-06-02,国泰君安,燃料油,"流多 124,923,670",流多,long,124923670,124923670,建仓过程
2026-06-02,国泰君安,工业硅,"流空 124,621,025",流空,short,-124621025,124621025,建仓过程
2026-06-02,国泰君安,沪锡,"流多 123,876,060",流多,long,123876060,123876060,建仓过程
2026-06-02,国泰君安,铁矿石,"流多 113,442,700",流多,long,113442700,113442700,建仓过程
2026-06-02,国泰君安,沪镍,"流多 97,388,830",流多,long,97388830,97388830,建仓过程
2026-06-02,国泰君安,乙二醇,"流空 77,245,700",流空,short,-77245700,77245700,建仓过程
2026-06-02,国泰君安,短纤,"流空 71,848,770",流空,short,-71848770,71848770,建仓过程
2026-06-02,国泰君安,棉花,"流多 63,906,725",流多,long,63906725,63906725,建仓过程
2026-06-02,国泰君安,苯乙烯,"流多 63,531,620",流多,long,63531620,63531620,建仓过程
2026-06-02,国泰君安,PTA,"流多 62,567,110",流多,long,62567110,62567110,建仓过程
2026-06-02,国泰君安,淀粉,"流多 59,392,800",流多,long,59392800,59392800,建仓过程
2026-06-02,国泰君安,硅铁,"流多 53,449,200",流多,long,53449200,53449200,建仓过程
2026-06-02,国泰君安,豆一,"流空 50,983,980",流空,short,-50983980,50983980,建仓过程
2026-06-02,国泰君安,铝合金,"流多 48,071,700",流多,long,48071700,48071700,建仓过程
2026-06-02,国泰君安,纯碱,"流多 44,900,120",流多,long,44900120,44900120,建仓过程
2026-06-02,国泰君安,天然橡胶,"流多 41,716,450",流多,long,41716450,41716450,建仓过程
2026-06-02,国泰君安,豆粕,"流多 32,214,030",流多,long,32214030,32214030,建仓过程
2026-06-02,国泰君安,沪铅,"流空 31,134,800",流空,short,-31134800,31134800,建仓过程
2026-06-02,国泰君安,液化气,"流空 28,688,100",流空,short,-28688100,28688100,建仓过程
2026-06-02,国泰君安,尿素,"流多 27,951,460",流多,long,27951460,27951460,建仓过程
2026-06-02,国泰君安,氧化铝,"流多 27,461,900",流多,long,27461900,27461900,建仓过程
2026-06-02,国泰君安,烧碱,"流多 26,414,580",流多,long,26414580,26414580,建仓过程
2026-06-02,国泰君安,棉纱,"流空 25,362,400",流空,short,-25362400,25362400,建仓过程
2026-06-02,国泰君安,瓶片,"流空 23,344,560",流空,short,-23344560,23344560,建仓过程
