date,broker,category,product,net_position_text,contract,long_position,long_change,short_position,short_change
2026-06-12,高盛期货,农副,花生,"净多5712
(减少1545)
净持仓数据",pk2610,10739,715,5527,1258
2026-06-12,高盛期货,农副,花生,"净多5712
(减少1545)
净持仓数据",pk2611,0,-1002,0,0
2026-06-12,高盛期货,农副,花生,"净多5712
(减少1545)
净持仓数据",pk2612,500,0,0,0
2026-06-12,高盛期货,化工,天然橡胶,"净多2527
(增加174)
净持仓数据",ru2609,2527,174,0,0
2026-06-12,高盛期货,化工,纯碱,"净空65917
(增加536)
净持仓数据",sa2609,0,0,48964,536
2026-06-12,高盛期货,化工,纯碱,"净空65917
(增加536)
净持仓数据",sa2701,0,0,16953,0
2026-06-12,高盛期货,化工,PTA,"净多41835
(增加410)
净持仓数据",ta2607,3288,-1010,0,0
2026-06-12,高盛期货,化工,PTA,"净多41835
(增加410)
净持仓数据",ta2608,1513,-447,0,0
2026-06-12,高盛期货,化工,PTA,"净多41835
(增加410)
净持仓数据",ta2609,36279,2908,0,0
2026-06-12,高盛期货,化工,PTA,"净多41835
(增加410)
净持仓数据",ta2610,811,-253,0,0
2026-06-12,高盛期货,化工,PTA,"净多41835
(增加410)
净持仓数据",ta2611,741,-259,0,0
2026-06-12,高盛期货,化工,PTA,"净多41835
(增加410)
净持仓数据",ta2701,4014,-140,4811,389
2026-06-12,高盛期货,化工,PVC,"净空60038
(减少977)
净持仓数据",v2609,0,0,60038,-977
2026-06-12,高盛期货,化工,沥青,"净多13427
(减少1786)
净持仓数据",bu2609,13427,-1786,0,0
2026-06-12,高盛期货,化工,苯乙烯,"净多7872
(减少1506)
净持仓数据",eb2607,2927,-628,0,0
2026-06-12,高盛期货,化工,苯乙烯,"净多7872
(减少1506)
净持仓数据",eb2608,4945,-878,0,0
2026-06-12,高盛期货,化工,乙二醇,"净空6962
(减少1229)
净持仓数据",eg2609,0,0,6962,-1229
2026-06-12,高盛期货,化工,塑料,"净空9852
(减少1375)
净持仓数据",l2609,0,0,9852,-1375
2026-06-12,高盛期货,化工,甲醇,"净多37948
(增加2251)
净持仓数据",ma2609,37948,2251,0,0
2026-06-12,高盛期货,化工,20号胶,"净多4326
(增加120)
净持仓数据",nr2608,3353,-140,510,21
2026-06-12,高盛期货,化工,20号胶,"净多4326
(增加120)
净持仓数据",nr2609,1483,281,0,0
2026-06-12,高盛期货,化工,短纤,"净空1487
(增加2332)
净持仓数据",pf2608,3119,-1630,4606,702
2026-06-12,高盛期货,化工,液化气,"净多2708
(减少99)
净持仓数据",pg2607,594,-80,0,0
2026-06-12,高盛期货,化工,液化气,"净多2708
(减少99)
净持仓数据",pg2608,2114,-76,0,0
2026-06-12,高盛期货,化工,液化气,"净多2708
(减少99)
净持仓数据",pg2610,0,0,0,-57
2026-06-12,高盛期货,化工,PP,"净多12276
(增加3897)
净持仓数据",pp2609,12276,-3494,0,-7391
2026-06-12,高盛期货,化工,瓶片,"净多1131
(减少436)
净持仓数据",pr2607,0,-60,0,0
2026-06-12,高盛期货,化工,瓶片,"净多1131
(减少436)
净持仓数据",pr2608,539,-43,766,293
2026-06-12,高盛期货,化工,瓶片,"净多1131
(减少436)
净持仓数据",pr2609,1358,-40,0,0
2026-06-12,高盛期货,化工,对二甲苯,"净多1426
(增加225)
净持仓数据",px2609,5400,18,4207,-140
2026-06-12,高盛期货,化工,对二甲苯,"净多1426
(增加225)
净持仓数据",px2701,233,67,0,0
2026-06-12,高盛期货,原油,燃料油,"净空6077
(增加876)
净持仓数据",fu2609,0,0,6077,876
2026-06-12,高盛期货,原油,低硫油,"净空0
(增加263)
净持仓数据",lu2607,0,-263,0,0
2026-06-12,高盛期货,有色,沪锡,"净空310
(增加122)
净持仓数据",sn2608,0,0,310,122
2026-06-12,高盛期货,有色,沪铝,"净空11054
(减少3490)
净持仓数据",al2608,3283,439,12842,-3288
2026-06-12,高盛期货,有色,沪铝,"净空11054
(减少3490)
净持仓数据",al2609,0,0,1495,237
