date,broker,product,flow_text,flow_direction_cn,flow_direction,flow_value,abs_flow_value,action
2026-05-25,东方财富,生猪,"流多 622,107,920",流多,long,622107920,622107920,建仓过程
2026-05-25,东方财富,鸡蛋,"流多 538,685,890",流多,long,538685890,538685890,建仓过程
2026-05-25,东方财富,燃料油,"流多 49,222,740",流多,long,49222740,49222740,建仓过程
2026-05-25,东方财富,烧碱,"流多 39,017,880",流多,long,39017880,39017880,建仓过程
2026-05-25,东方财富,玻璃,"流空 34,319,860",流空,short,-34319860,34319860,建仓过程
2026-05-25,东方财富,沪银,"流空 32,651,100",流空,short,-32651100,32651100,建仓过程
2026-05-25,东方财富,玉米,"流多 16,860,630",流多,long,16860630,16860630,建仓过程
2026-05-25,东方财富,沪锡,"流多 15,203,880",流多,long,15203880,15203880,建仓过程
2026-05-25,东方财富,花生,"流空 6,927,210",流空,short,-6927210,6927210,建仓过程
2026-05-25,国泰君安,十债,"流空 4,545,913,200",流空,short,-4545913200,4545913200,建仓过程
2026-05-25,国泰君安,三十债,"流多 1,996,531,000",流多,long,1996531000,1996531000,建仓过程
2026-05-25,国泰君安,焦煤,"流多 1,461,929,790",流多,long,1461929790,1461929790,建仓过程
2026-05-25,国泰君安,1000中证,"流空 1,397,392,600",流空,short,-1397392600,1397392600,建仓过程
2026-05-25,国泰君安,300沪深,"流多 1,156,761,900",流多,long,1156761900,1156761900,建仓过程
2026-05-25,国泰君安,PTA,"流多 987,089,570",流多,long,987089570,987089570,建仓过程
2026-05-25,国泰君安,五债,"流空 849,902,500",流空,short,-849902500,849902500,建仓过程
2026-05-25,国泰君安,二债,"流多 726,581,520",流多,long,726581520,726581520,建仓过程
2026-05-25,国泰君安,500中证,"流空 657,684,480",流空,short,-657684480,657684480,建仓过程
2026-05-25,国泰君安,鸡蛋,"流空 513,025,190",流空,short,-513025190,513025190,建仓过程
2026-05-25,国泰君安,PVC,"流多 421,728,175",流多,long,421728175,421728175,建仓过程
2026-05-25,国泰君安,沪金,"流多 374,756,980",流多,long,374756980,374756980,建仓过程
2026-05-25,国泰君安,50上证,"流多 368,829,420",流多,long,368829420,368829420,建仓过程
2026-05-25,国泰君安,液化气,"流空 365,256,160",流空,short,-365256160,365256160,建仓过程
2026-05-25,国泰君安,豆油,"流空 351,246,230",流空,short,-351246230,351246230,建仓过程
2026-05-25,国泰君安,PP,"流空 322,817,305",流空,short,-322817305,322817305,建仓过程
2026-05-25,国泰君安,螺纹钢,"流多 315,537,030",流多,long,315537030,315537030,建仓过程
2026-05-25,国泰君安,沪银,"流多 313,177,290",流多,long,313177290,313177290,建仓过程
2026-05-25,国泰君安,纯碱,"流多 306,858,800",流多,long,306858800,306858800,建仓过程
2026-05-25,国泰君安,氧化铝,"流多 284,726,220",流多,long,284726220,284726220,建仓过程
2026-05-25,国泰君安,乙二醇,"流多 265,360,170",流多,long,265360170,265360170,建仓过程
2026-05-25,国泰君安,硅铁,"流空 222,942,470",流空,short,-222942470,222942470,建仓过程
2026-05-25,国泰君安,燃料油,"流空 206,847,410",流空,short,-206847410,206847410,建仓过程
2026-05-25,国泰君安,甲醇,"流空 206,679,760",流空,short,-206679760,206679760,建仓过程
2026-05-25,国泰君安,菜粕,"流空 201,667,630",流空,short,-201667630,201667630,建仓过程
2026-05-25,国泰君安,棕榈油,"流空 196,537,160",流空,short,-196537160,196537160,建仓过程
2026-05-25,国泰君安,天然橡胶,"流多 196,137,350",流多,long,196137350,196137350,建仓过程
2026-05-25,国泰君安,豆粕,"流空 194,321,020",流空,short,-194321020,194321020,建仓过程
2026-05-25,国泰君安,热卷,"流多 193,043,730",流多,long,193043730,193043730,建仓过程
2026-05-25,国泰君安,生猪,"流空 189,463,280",流空,short,-189463280,189463280,建仓过程
2026-05-25,国泰君安,苯乙烯,"流多 185,874,030",流多,long,185874030,185874030,建仓过程
2026-05-25,国泰君安,纸浆,"流多 173,110,560",流多,long,173110560,173110560,建仓过程
2026-05-25,国泰君安,花生,"流多 160,654,030",流多,long,160654030,160654030,建仓过程
2026-05-25,国泰君安,对二甲苯,"流多 160,191,840",流多,long,160191840,160191840,建仓过程
2026-05-25,国泰君安,塑料,"流多 150,274,360",流多,long,150274360,150274360,建仓过程
2026-05-25,国泰君安,短纤,"流多 144,053,630",流多,long,144053630,144053630,建仓过程
2026-05-25,国泰君安,锰硅,"流多 132,989,470",流多,long,132989470,132989470,建仓过程
2026-05-25,国泰君安,工业硅,"流多 132,837,950",流多,long,132837950,132837950,建仓过程
2026-05-25,国泰君安,沥青,"流空 130,836,570",流空,short,-130836570,130836570,建仓过程
2026-05-25,国泰君安,沪锡,"流空 126,174,180",流空,short,-126174180,126174180,建仓过程
2026-05-25,国泰君安,玉米,"流空 124,579,530",流空,short,-124579530,124579530,建仓过程
2026-05-25,国泰君安,白糖,"流空 120,234,740",流空,short,-120234740,120234740,建仓过程
2026-05-25,国泰君安,菜油,"流空 112,903,890",流空,short,-112903890,112903890,建仓过程
2026-05-25,国泰君安,棉花,"流多 105,468,775",流多,long,105468775,105468775,建仓过程
2026-05-25,国泰君安,沪镍,"流多 89,988,540",流多,long,89988540,89988540,建仓过程
2026-05-25,国泰君安,烧碱,"流空 86,886,360",流空,short,-86886360,86886360,建仓过程
2026-05-25,国泰君安,沪铜,"流多 86,265,850",流多,long,86265850,86265850,建仓过程
2026-05-25,国泰君安,沪铝,"流空 83,158,725",流空,short,-83158725,83158725,建仓过程
2026-05-25,国泰君安,豆一,"流多 74,328,620",流多,long,74328620,74328620,建仓过程
