date,broker,category,product,net_position_text,contract,long_position,long_change,short_position,short_change
2026-05-13,高盛期货,农副,花生,"净空5749
(增加2743)
净持仓数据",pk2610,4140,-592,9889,2151
2026-05-13,高盛期货,化工,PTA,"净多26679
(减少3293)
净持仓数据",ta2610,551,-76,0,0
2026-05-13,高盛期货,化工,PTA,"净多26679
(减少3293)
净持仓数据",ta2701,2350,137,3040,-36
2026-05-13,高盛期货,化工,PTA,"净多26679
(减少3293)
净持仓数据",ta2606,4157,0,0,0
2026-05-13,高盛期货,化工,PTA,"净多26679
(减少3293)
净持仓数据",ta2607,9986,-139,0,0
2026-05-13,高盛期货,化工,PTA,"净多26679
(减少3293)
净持仓数据",ta2608,218,-536,0,0
2026-05-13,高盛期货,化工,PTA,"净多26679
(减少3293)
净持仓数据",ta2609,28558,-1033,16101,1682
2026-05-13,高盛期货,化工,PVC,"净空16756
(减少645)
净持仓数据",v2609,0,0,16756,-645
2026-05-13,高盛期货,化工,沥青,"净多10276
(减少624)
净持仓数据",bu2609,10276,-624,0,0
2026-05-13,高盛期货,化工,苯乙烯,"净多4659
(减少1032)
净持仓数据",eb2607,7981,-212,3322,820
2026-05-13,高盛期货,化工,乙二醇,"净空12784
(增加1949)
净持仓数据",eg2609,0,0,12784,1949
2026-05-13,高盛期货,化工,塑料,"净空20337
(增加3531)
净持仓数据",l2609,0,0,20337,3531
2026-05-13,高盛期货,化工,甲醇,"净空17035
(减少1706)
净持仓数据",ma2609,12032,-698,29067,-2404
2026-05-13,高盛期货,化工,20号胶,"净多2975
(增加1441)
净持仓数据",nr2607,2575,1308,0,0
2026-05-13,高盛期货,化工,20号胶,"净多2975
(增加1441)
净持仓数据",nr2608,400,133,0,0
2026-05-13,高盛期货,化工,短纤,"净多1641
(增加1414)
净持仓数据",pf2607,5354,-694,5713,-1108
2026-05-13,高盛期货,化工,短纤,"净多1641
(增加1414)
净持仓数据",pf2608,2000,1000,0,0
2026-05-13,高盛期货,化工,液化气,"净多5462
(增加1005)
净持仓数据",pg2607,5462,1005,0,0
2026-05-13,高盛期货,化工,PP,"净多7374
(增加2076)
净持仓数据",pp2609,7374,2076,0,0
2026-05-13,高盛期货,化工,瓶片,"净空21
(增加208)
净持仓数据",pr2607,1746,77,1767,285
2026-05-13,高盛期货,化工,对二甲苯,"净空1149
(增加310)
净持仓数据",px2609,2590,-296,3739,14
