date,broker,category,product,net_position_text,contract,long_position,long_change,short_position,short_change
2026-06-04,高盛期货,农副,花生,"净空10111
(减少396)
净持仓数据",pk2610,3303,-6,14503,-466
2026-06-04,高盛期货,农副,花生,"净空10111
(减少396)
净持仓数据",pk2611,998,-60,0,0
2026-06-04,高盛期货,农副,花生,"净空10111
(减少396)
净持仓数据",pk2612,91,-4,0,0
2026-06-04,高盛期货,化工,塑料,"净空11034
(增加3594)
净持仓数据",l2609,0,0,11034,3594
2026-06-04,高盛期货,化工,甲醇,"净多17865
(减少2594)
净持仓数据",ma2609,17865,-2594,0,0
2026-06-04,高盛期货,化工,20号胶,"净多3849
(增加1176)
净持仓数据",nr2608,4481,1227,924,95
2026-06-04,高盛期货,化工,20号胶,"净多3849
(增加1176)
净持仓数据",nr2609,292,44,0,0
2026-06-04,高盛期货,化工,短纤,"净空955
(减少166)
净持仓数据",pf2608,4111,351,5066,185
2026-06-04,高盛期货,化工,液化气,"净多4209
(减少552)
净持仓数据",pg2607,3064,-478,0,0
2026-06-04,高盛期货,化工,液化气,"净多4209
(减少552)
净持仓数据",pg2608,1145,-74,0,0
2026-06-04,高盛期货,化工,PP,"净多12963
(减少2006)
净持仓数据",pp2609,12963,-2006,0,0
2026-06-04,高盛期货,化工,瓶片,"净多1013
(增加67)
净持仓数据",pr2607,245,174,167,69
2026-06-04,高盛期货,化工,瓶片,"净多1013
(增加67)
净持仓数据",pr2608,0,0,326,31
2026-06-04,高盛期货,化工,瓶片,"净多1013
(增加67)
净持仓数据",pr2609,1261,-7,0,0
2026-06-04,高盛期货,化工,对二甲苯,"净空282
(减少1240)
净持仓数据",px2609,4093,1075,4532,-182
2026-06-04,高盛期货,化工,对二甲苯,"净空282
(减少1240)
净持仓数据",px2701,157,-17,0,0
2026-06-04,高盛期货,化工,天然橡胶,"净多3760
(增加655)
净持仓数据",ru2609,3760,655,0,0
2026-06-04,高盛期货,化工,纯碱,"净空51271
(增加1018)
净持仓数据",sa2609,0,0,37038,734
2026-06-04,高盛期货,化工,纯碱,"净空51271
(增加1018)
净持仓数据",sa2701,0,0,14233,284
2026-06-04,高盛期货,化工,PTA,"净多15930
(减少1716)
净持仓数据",ta2607,11340,-637,0,0
2026-06-04,高盛期货,化工,PTA,"净多15930
(减少1716)
净持仓数据",ta2608,1640,-320,0,0
2026-06-04,高盛期货,化工,PTA,"净多15930
(减少1716)
净持仓数据",ta2609,23165,-38,24182,-244
2026-06-04,高盛期货,化工,PTA,"净多15930
(减少1716)
净持仓数据",ta2610,669,-348,0,0
2026-06-04,高盛期货,化工,PTA,"净多15930
(减少1716)
净持仓数据",ta2611,624,-376,0,0
2026-06-04,高盛期货,化工,PTA,"净多15930
(减少1716)
净持仓数据",ta2701,2674,-241,0,0
2026-06-04,高盛期货,化工,PVC,"净空48901
(增加4146)
净持仓数据",v2609,0,0,48901,4146
2026-06-04,高盛期货,化工,沥青,"净多10647
(增加6739)
净持仓数据",bu2609,10647,2207,0,-4532
2026-06-04,高盛期货,化工,苯乙烯,"净多12726
(减少4614)
净持仓数据",eb2607,9952,-5299,0,0
2026-06-04,高盛期货,化工,苯乙烯,"净多12726
(减少4614)
净持仓数据",eb2608,2774,685,0,0
2026-06-04,高盛期货,化工,乙二醇,"净空11375
(减少405)
净持仓数据",eg2609,0,0,11375,-405
2026-06-04,高盛期货,原油,低硫油,"净多537
净持仓数据",lu2607,537,0,0,0
2026-06-04,高盛期货,原油,燃料油,"净空2908
(减少35)
净持仓数据",fu2609,0,0,2908,-35
2026-06-04,高盛期货,有色,碳酸锂,"净空3628
(增加173)
净持仓数据",lc2609,0,0,3828,173
2026-06-04,高盛期货,有色,碳酸锂,"净空3628
(增加173)
净持仓数据",lc2611,200,0,0,0
2026-06-04,高盛期货,有色,沪镍,"净空4827
(增加738)
净持仓数据",ni2609,0,0,4827,738
