date,broker,category,product,net_position_text,contract,long_position,long_change,short_position,short_change
2026-05-28,高盛期货,农副,花生,"净空15129
(增加96)
净持仓数据",pk2610,0,0,15694,128
2026-05-28,高盛期货,农副,花生,"净空15129
(增加96)
净持仓数据",pk2611,565,32,0,0
2026-05-28,高盛期货,化工,塑料,"净空0
(减少7202)
净持仓数据",l2609,0,0,0,-7202
2026-05-28,高盛期货,化工,甲醇,"净多17004
(增加3443)
净持仓数据",ma2609,17004,3443,0,0
2026-05-28,高盛期货,化工,20号胶,"净多1841
(增加729)
净持仓数据",nr2607,0,0,0,-698
2026-05-28,高盛期货,化工,20号胶,"净多1841
(增加729)
净持仓数据",nr2608,2762,470,921,439
2026-05-28,高盛期货,化工,短纤,"净空4635
(减少1173)
净持仓数据",pf2607,0,0,3454,-375
2026-05-28,高盛期货,化工,短纤,"净空4635
(减少1173)
净持仓数据",pf2608,1141,827,2322,29
2026-05-28,高盛期货,化工,液化气,"净多6913
(增加199)
净持仓数据",pg2607,5531,452,0,0
2026-05-28,高盛期货,化工,液化气,"净多6913
(增加199)
净持仓数据",pg2608,1382,-253,0,0
2026-05-28,高盛期货,化工,PP,"净多6076
(增加167)
净持仓数据",pp2609,7183,125,0,0
2026-05-28,高盛期货,化工,PP,"净多6076
(增加167)
净持仓数据",pp2701,0,0,1107,-42
2026-05-28,高盛期货,化工,瓶片,"净多1020
(减少242)
净持仓数据",pr2607,1279,-217,259,25
2026-05-28,高盛期货,化工,对二甲苯,"净空285
(减少251)
净持仓数据",px2609,3791,448,4076,197
2026-05-28,高盛期货,化工,天然橡胶,"净多2680
(增加1277)
净持仓数据",ru2609,2680,1277,0,0
2026-05-28,高盛期货,化工,纯碱,"净空59689
(增加2210)
净持仓数据",sa2609,0,0,45740,2210
2026-05-28,高盛期货,化工,纯碱,"净空59689
(增加2210)
净持仓数据",sa2701,0,0,13949,0
2026-05-28,高盛期货,化工,PTA,"净多6472
(减少6227)
净持仓数据",ta2606,3000,0,0,0
2026-05-28,高盛期货,化工,PTA,"净多6472
(减少6227)
净持仓数据",ta2607,11880,524,0,0
2026-05-28,高盛期货,化工,PTA,"净多6472
(减少6227)
净持仓数据",ta2608,1954,371,0,0
2026-05-28,高盛期货,化工,PTA,"净多6472
(减少6227)
净持仓数据",ta2609,20857,-1917,32151,3071
2026-05-28,高盛期货,化工,PTA,"净多6472
(减少6227)
净持仓数据",ta2610,932,332,0,0
2026-05-28,高盛期货,化工,PTA,"净多6472
(减少6227)
净持仓数据",ta2701,0,-2466,0,0
2026-05-28,高盛期货,化工,PVC,"净空41915
(增加2688)
净持仓数据",v2609,0,0,41915,2688
2026-05-28,高盛期货,化工,沥青,"净多6839
(增加387)
净持仓数据",bu2609,11256,208,4417,-179
2026-05-28,高盛期货,化工,苯乙烯,"净多13377
(增加3130)
净持仓数据",eb2607,10766,3341,0,0
2026-05-28,高盛期货,化工,苯乙烯,"净多13377
(增加3130)
净持仓数据",eb2608,2611,-211,0,0
2026-05-28,高盛期货,化工,乙二醇,"净空11955
(减少2197)
净持仓数据",eg2609,0,0,11955,-2197
2026-05-28,高盛期货,原油,低硫油,"净多645
(减少6)
净持仓数据",lu2607,645,-6,0,0
2026-05-28,高盛期货,原油,燃料油,"净多3387
(增加438)
净持仓数据",fu2609,3387,438,0,0
2026-05-28,高盛期货,有色,碳酸锂,"净多400
净持仓数据",lc2611,200,0,0,0
2026-05-28,高盛期货,有色,碳酸锂,"净多400
净持仓数据",lc2701,200,0,0,0
2026-05-28,高盛期货,有色,沪镍,"净空3335
(增加161)
净持仓数据",ni2609,0,0,3335,161
2026-05-28,高盛期货,有色,沪铅,"净空5205
(增加72)
净持仓数据",pb2607,0,0,0,-915
2026-05-28,高盛期货,有色,沪铅,"净空5205
(增加72)
净持仓数据",pb2608,305,-35,5510,952
2026-05-28,高盛期货,有色,沪锡,"净多794
(增加102)
净持仓数据",sn2608,794,102,0,0
2026-05-28,高盛期货,有色,沪铝,"净空4597
(增加1360)
净持仓数据",al2607,0,0,0,-4857
2026-05-28,高盛期货,有色,沪铝,"净空4597
(增加1360)
净持仓数据",al2608,3528,-1321,8125,4896
2026-05-28,高盛期货,有色,沪锌,"净多12353
(减少1150)
净持仓数据",zn2607,2879,-3142,1803,11
2026-05-28,高盛期货,有色,沪锌,"净多12353
(减少1150)
净持仓数据",zn2608,12418,2195,1577,586
2026-05-28,高盛期货,有色,沪锌,"净多12353
(减少1150)
净持仓数据",zn2609,436,394,0,0
2026-05-28,高盛期货,有色,沪铜,"净多2230
(减少1085)
净持仓数据",cu2607,0,-2205,0,0
2026-05-28,高盛期货,有色,沪铜,"净多2230
(减少1085)
净持仓数据",cu2608,3858,1121,0,0
2026-05-28,高盛期货,有色,沪铜,"净多2230
(减少1085)
净持仓数据",cu2612,0,0,1628,1
2026-05-28,高盛期货,油脂油料,豆粕,"净多39681
(增加9616)
净持仓数据",m2609,39681,9616,0,0
2026-05-28,高盛期货,油脂油料,菜油,"净多32405
(增加9369)
净持仓数据",oi2607,1000,677,0,0
2026-05-28,高盛期货,油脂油料,菜油,"净多32405
(增加9369)
净持仓数据",oi2609,30303,8240,0,0
2026-05-28,高盛期货,油脂油料,菜油,"净多32405
(增加9369)
净持仓数据",oi2701,1188,430,86,-22
2026-05-28,高盛期货,油脂油料,棕榈油,"净空16462
(减少4012)
净持仓数据",p2609,9274,307,25736,-3705
2026-05-28,高盛期货,油脂油料,菜粕,"净空33160
(增加5668)
净持仓数据",rm2608,0,0,259,28
2026-05-28,高盛期货,油脂油料,菜粕,"净空33160
(增加5668)
净持仓数据",rm2609,32803,-1418,60334,4148
2026-05-28,高盛期货,油脂油料,菜粕,"净空33160
(增加5668)
净持仓数据",rm2701,0,0,5370,74
2026-05-28,高盛期货,油脂油料,豆一,"净多2229
(减少1405)
净持仓数据",a2607,11245,1390,11532,2935
2026-05-28,高盛期货,油脂油料,豆一,"净多2229
(减少1405)
净持仓数据",a2609,3708,140,1192,0
2026-05-28,高盛期货,油脂油料,豆二,"净空5063
(减少3263)
净持仓数据",b2607,5902,1162,7712,-2240
2026-05-28,高盛期货,油脂油料,豆二,"净空5063
(减少3263)
净持仓数据",b2608,715,0,0,0
2026-05-28,高盛期货,油脂油料,豆二,"净空5063
(减少3263)
净持仓数据",b2609,1874,-22,5842,117
2026-05-28,高盛期货,油脂油料,豆油,"净多36953
(增加4056)
净持仓数据",y2609,36953,4056,0,0
2026-05-28,高盛期货,贵金属,沪银,"净多1563
(增加100)
净持仓数据",ag2608,3042,0,0,0
2026-05-28,高盛期货,贵金属,沪银,"净多1563
(增加100)
净持仓数据",ag2610,0,0,1479,-100
2026-05-28,高盛期货,贵金属,沪金,"净空1184
(增加401)
净持仓数据",au2608,0,0,1090,424
2026-05-28,高盛期货,贵金属,沪金,"净空1184
(增加401)
净持仓数据",au2610,0,0,94,-23
2026-05-28,高盛期货,软商品,白糖,"净空96751
(增加3693)
净持仓数据",sr2609,0,0,96751,3693
2026-05-28,高盛期货,轻工,纸浆,"净空20980
(增加207)
净持仓数据",sp2609,0,0,20980,207
2026-05-28,高盛期货,轻工,玻璃,"净空102315
(减少6324)
净持仓数据",fg2609,0,0,91937,-6324
2026-05-28,高盛期货,轻工,玻璃,"净空102315
(减少6324)
净持仓数据",fg2701,0,0,10378,0
2026-05-28,高盛期货,黑色,热卷,"净多110346
(减少857)
净持仓数据",hc2610,110346,-857,0,0
2026-05-28,高盛期货,黑色,铁矿石,"净多33692
(增加736)
净持仓数据",i2607,1545,0,0,-1000
2026-05-28,高盛期货,黑色,铁矿石,"净多33692
(增加736)
净持仓数据",i2609,36894,-273,9350,0
2026-05-28,高盛期货,黑色,铁矿石,"净多33692
(增加736)
净持仓数据",i2701,4603,9,0,0
2026-05-28,高盛期货,黑色,螺纹钢,"净空40248
(增加4069)
净持仓数据",rb2610,0,0,40248,4069
2026-05-28,高盛期货,黑色,硅铁,"净多9752
(增加1618)
净持仓数据",sf2607,5514,-1230,0,0
2026-05-28,高盛期货,黑色,硅铁,"净多9752
(增加1618)
净持仓数据",sf2608,0,0,255,0
2026-05-28,高盛期货,黑色,硅铁,"净多9752
(增加1618)
净持仓数据",sf2609,4493,2848,0,0
2026-05-28,高盛期货,黑色,锰硅,"净空43291
(减少3184)
净持仓数据",sm2607,0,0,37633,-2725
2026-05-28,高盛期货,黑色,锰硅,"净空43291
(减少3184)
净持仓数据",sm2609,0,0,5797,-449
2026-05-28,高盛期货,黑色,锰硅,"净空43291
(减少3184)
净持仓数据",sm2701,139,10,0,0
2026-05-28,高盛期货,黑色,不锈钢,"净多11300
(增加1602)
净持仓数据",ss2608,11300,1602,0,0
2026-05-28,摩根大通,农副,花生,"净空12212
(增加643)
净持仓数据",pk2610,0,0,12212,643
2026-05-28,摩根大通,化工,PTA,"净多34750
(增加6818)
净持仓数据",ta2609,34750,6818,0,0
2026-05-28,摩根大通,化工,20号胶,"净多6512
(增加656)
净持仓数据",nr2607,1474,144,0,0
2026-05-28,摩根大通,化工,20号胶,"净多6512
(增加656)
净持仓数据",nr2608,5038,512,0,0
2026-05-28,摩根大通,化工,天然橡胶,"净空200
净持仓数据",ru2701,0,0,200,0
2026-05-28,摩根大通,原油,低硫油,"净空0
(减少552)
净持仓数据",lu2607,0,0,0,-552
2026-05-28,摩根大通,有色,沪锌,"净空2367
净持仓数据",zn2607,0,0,2367,0
2026-05-28,摩根大通,有色,沪镍,"净多501
(增加7)
净持仓数据",ni2608,501,7,0,0
2026-05-28,摩根大通,有色,沪铅,"净空0
(减少106)
净持仓数据",pb2608,0,0,0,-106
2026-05-28,摩根大通,油脂油料,豆油,"净多29042
(增加3221)
净持仓数据",y2607,0,0,206,-111
2026-05-28,摩根大通,油脂油料,豆油,"净多29042
(增加3221)
净持仓数据",y2609,46197,2197,11718,-893
2026-05-28,摩根大通,油脂油料,豆油,"净多29042
(增加3221)
净持仓数据",y2701,0,0,5231,-20
2026-05-28,摩根大通,油脂油料,豆一,"净多7998
(增加863)
净持仓数据",a2607,6014,796,4025,264
2026-05-28,摩根大通,油脂油料,豆一,"净多7998
(增加863)
净持仓数据",a2609,6009,331,0,0
