date,broker,product,flow_text,flow_direction_cn,flow_direction,flow_value,abs_flow_value,action
2026-06-05,东方财富,玉米,"流空 234,582,420",流空,short,-234582420,234582420,建仓过程
2026-06-05,东方财富,多晶硅,"流空 172,351,500",流空,short,-172351500,172351500,建仓过程
2026-06-05,东方财富,生猪,"流空 167,291,040",流空,short,-167291040,167291040,建仓过程
2026-06-05,东方财富,鸡蛋,"流空 82,529,640",流空,short,-82529640,82529640,建仓过程
2026-06-05,东方财富,燃料油,"流空 78,120,870",流空,short,-78120870,78120870,建仓过程
2026-06-05,东方财富,烧碱,"流空 67,163,850",流空,short,-67163850,67163850,建仓过程
2026-06-05,东方财富,红枣,"流多 16,447,050",流多,long,16447050,16447050,建仓过程
2026-06-05,东方财富,1000中证,"流空 16,438,400",流空,short,-16438400,16438400,建仓过程
2026-06-05,东方财富,氧化铝,"流空 14,556,960",流空,short,-14556960,14556960,建仓过程
2026-06-05,东方财富,沪银,"流空 11,691,900",流空,short,-11691900,11691900,建仓过程
2026-06-05,东方财富,沪锡,"流多 9,312,380",流多,long,9312380,9312380,建仓过程
2026-06-05,国泰君安,300沪深,"流空 3,184,857,720",流空,short,-3184857720,3184857720,建仓过程
2026-06-05,国泰君安,三十债,"流空 2,310,031,000",流空,short,-2310031000,2310031000,建仓过程
2026-06-05,国泰君安,1000中证,"流空 2,248,507,960",流空,short,-2248507960,2248507960,建仓过程
2026-06-05,国泰君安,沪金,"流空 1,662,758,840",流空,short,-1662758840,1662758840,建仓过程
2026-06-05,国泰君安,五债,"流多 749,267,200",流多,long,749267200,749267200,建仓过程
2026-06-05,国泰君安,焦煤,"流多 701,122,020",流多,long,701122020,701122020,建仓过程
2026-06-05,国泰君安,沪锡,"流空 659,412,280",流空,short,-659412280,659412280,建仓过程
2026-06-05,国泰君安,50上证,"流空 640,212,720",流空,short,-640212720,640212720,建仓过程
2026-06-05,国泰君安,碳酸锂,"流空 539,759,580",流空,short,-539759580,539759580,建仓过程
2026-06-05,国泰君安,生猪,"流空 532,216,560",流空,short,-532216560,532216560,建仓过程
2026-06-05,国泰君安,PTA,"流多 512,963,000",流多,long,512963000,512963000,建仓过程
2026-06-05,国泰君安,玉米,"流多 505,961,240",流多,long,505961240,505961240,建仓过程
2026-06-05,国泰君安,玻璃,"流空 468,729,600",流空,short,-468729600,468729600,建仓过程
2026-06-05,国泰君安,棉花,"流空 445,348,950",流空,short,-445348950,445348950,建仓过程
2026-06-05,国泰君安,对二甲苯,"流空 420,658,020",流空,short,-420658020,420658020,建仓过程
2026-06-05,国泰君安,二债,"流空 412,556,520",流空,short,-412556520,412556520,建仓过程
2026-06-05,国泰君安,沪镍,"流多 410,081,010",流多,long,410081010,410081010,建仓过程
2026-06-05,国泰君安,沪铜,"流多 384,191,950",流多,long,384191950,384191950,建仓过程
2026-06-05,国泰君安,菜油,"流空 383,884,500",流空,short,-383884500,383884500,建仓过程
2026-06-05,国泰君安,纯碱,"流空 383,523,440",流空,short,-383523440,383523440,建仓过程
2026-06-05,国泰君安,天然橡胶,"流多 378,417,050",流多,long,378417050,378417050,建仓过程
2026-06-05,国泰君安,烧碱,"流多 320,293,830",流多,long,320293830,320293830,建仓过程
2026-06-05,国泰君安,热卷,"流多 314,016,030",流多,long,314016030,314016030,建仓过程
2026-06-05,国泰君安,鸡蛋,"流多 308,091,800",流多,long,308091800,308091800,建仓过程
2026-06-05,国泰君安,沪银,"流多 300,390,795",流多,long,300390795,300390795,建仓过程
2026-06-05,国泰君安,不锈钢,"流多 282,183,200",流多,long,282183200,282183200,建仓过程
2026-06-05,国泰君安,淀粉,"流多 246,622,750",流多,long,246622750,246622750,建仓过程
2026-06-05,国泰君安,500中证,"流空 232,533,720",流空,short,-232533720,232533720,建仓过程
2026-06-05,国泰君安,豆油,"流空 199,705,760",流空,short,-199705760,199705760,建仓过程
2026-06-05,国泰君安,豆粕,"流多 196,233,730",流多,long,196233730,196233730,建仓过程
2026-06-05,国泰君安,十债,"流多 185,753,500",流多,long,185753500,185753500,建仓过程
2026-06-05,国泰君安,花生,"流多 165,056,620",流多,long,165056620,165056620,建仓过程
2026-06-05,国泰君安,沪铝,"流空 164,327,050",流空,short,-164327050,164327050,建仓过程
2026-06-05,国泰君安,工业硅,"流多 157,481,400",流多,long,157481400,157481400,建仓过程
2026-06-05,国泰君安,PVC,"流空 148,233,230",流空,short,-148233230,148233230,建仓过程
2026-06-05,国泰君安,红枣,"流空 135,966,000",流空,short,-135966000,135966000,建仓过程
2026-06-05,国泰君安,甲醇,"流空 134,361,800",流空,short,-134361800,134361800,建仓过程
2026-06-05,国泰君安,多晶硅,"流空 125,273,025",流空,short,-125273025,125273025,建仓过程
2026-06-05,国泰君安,硅铁,"流多 111,064,110",流多,long,111064110,111064110,建仓过程
2026-06-05,国泰君安,塑料,"流空 110,790,100",流空,short,-110790100,110790100,建仓过程
2026-06-05,国泰君安,苯乙烯,"流空 95,299,075",流空,short,-95299075,95299075,建仓过程
2026-06-05,国泰君安,铁矿石,"流空 94,059,250",流空,short,-94059250,94059250,建仓过程
2026-06-05,国泰君安,棕榈油,"流多 86,769,660",流多,long,86769660,86769660,建仓过程
2026-06-05,国泰君安,白糖,"流空 81,308,100",流空,short,-81308100,81308100,建仓过程
2026-06-05,国泰君安,锰硅,"流多 78,033,480",流多,long,78033480,78033480,建仓过程
2026-06-05,国泰君安,燃料油,"流空 75,484,770",流空,short,-75484770,75484770,建仓过程
2026-06-05,国泰君安,乙二醇,"流多 72,294,950",流多,long,72294950,72294950,建仓过程
2026-06-05,国泰君安,棉纱,"流多 71,280,550",流多,long,71280550,71280550,建仓过程
2026-06-05,国泰君安,苹果,"流空 70,852,770",流空,short,-70852770,70852770,建仓过程
2026-06-05,国泰君安,合成橡胶,"流空 67,489,825",流空,short,-67489825,67489825,建仓过程
2026-06-05,国泰君安,沪锌,"流多 63,617,100",流多,long,63617100,63617100,建仓过程
2026-06-05,国泰君安,纸浆,"流多 54,618,720",流多,long,54618720,54618720,建仓过程
2026-06-05,国泰君安,沥青,"流空 53,770,970",流空,short,-53770970,53770970,建仓过程
2026-06-05,国泰君安,豆一,"流空 42,758,630",流空,short,-42758630,42758630,建仓过程
2026-06-05,国泰君安,焦炭,"流空 40,424,400",流空,short,-40424400,40424400,建仓过程
2026-06-05,国泰君安,瓶片,"流空 40,274,610",流空,short,-40274610,40274610,建仓过程
2026-06-05,国泰君安,沪铅,"流空 34,216,125",流空,short,-34216125,34216125,建仓过程
2026-06-05,国泰君安,氧化铝,"流多 32,286,480",流多,long,32286480,32286480,建仓过程
2026-06-05,国泰君安,液化气,"流空 31,639,440",流空,short,-31639440,31639440,建仓过程
2026-06-05,国泰君安,丙烯,"流空 29,275,940",流空,short,-29275940,29275940,建仓过程
2026-06-05,国泰君安,菜粕,"流空 24,975,180",流空,short,-24975180,24975180,建仓过程
2026-06-05,国泰君安,PP,"流多 20,773,895",流多,long,20773895,20773895,建仓过程
2026-06-05,国泰君安,铝合金,"流空 17,790,850",流空,short,-17790850,17790850,建仓过程
2026-06-05,国泰君安,低硫油,"流多 16,505,640",流多,long,16505640,16505640,建仓过程
2026-06-05,国泰君安,豆二,"流多 15,920,590",流多,long,15920590,15920590,建仓过程
2026-06-05,国泰君安,短纤,"流空 15,385,850",流空,short,-15385850,15385850,建仓过程
2026-06-05,国泰君安,螺纹钢,"流多 14,470,720",流多,long,14470720,14470720,建仓过程
2026-06-05,国泰君安,20号胶,"流多 12,342,600",流多,long,12342600,12342600,建仓过程
2026-06-05,徽商期货,鸡蛋,"流空 228,765,520",流空,short,-228765520,228765520,建仓过程
2026-06-05,徽商期货,菜粕,"流空 217,269,480",流空,short,-217269480,217269480,建仓过程
2026-06-05,徽商期货,豆一,"流空 160,628,820",流空,short,-160628820,160628820,建仓过程
2026-06-05,徽商期货,沪金,"流多 119,757,720",流多,long,119757720,119757720,建仓过程
2026-06-05,徽商期货,烧碱,"流空 80,901,240",流空,short,-80901240,80901240,建仓过程
2026-06-05,徽商期货,尿素,"流空 75,092,580",流空,short,-75092580,75092580,建仓过程
2026-06-05,徽商期货,生猪,"流空 74,846,800",流空,short,-74846800,74846800,建仓过程
2026-06-05,徽商期货,玻璃,"流多 69,525,080",流多,long,69525080,69525080,建仓过程
2026-06-05,徽商期货,硅铁,"流空 59,347,140",流空,short,-59347140,59347140,建仓过程
2026-06-05,徽商期货,玉米,"流多 49,310,760",流多,long,49310760,49310760,建仓过程
2026-06-05,徽商期货,液化气,"流多 43,543,640",流多,long,43543640,43543640,建仓过程
2026-06-05,徽商期货,纯碱,"流多 40,972,440",流多,long,40972440,40972440,建仓过程
2026-06-05,徽商期货,热卷,"流多 38,272,740",流多,long,38272740,38272740,建仓过程
2026-06-05,徽商期货,工业硅,"流空 37,584,000",流空,short,-37584000,37584000,建仓过程
2026-06-05,徽商期货,纸浆,"流空 30,873,600",流空,short,-30873600,30873600,建仓过程
2026-06-05,徽商期货,菜油,"流多 24,237,500",流多,long,24237500,24237500,建仓过程
2026-06-05,徽商期货,花生,"流多 21,424,770",流多,long,21424770,21424770,建仓过程
2026-06-05,徽商期货,白糖,"流空 18,960,320",流空,short,-18960320,18960320,建仓过程
2026-06-05,徽商期货,螺纹钢,"流空 14,048,080",流空,short,-14048080,14048080,建仓过程
2026-06-05,徽商期货,甲醇,"流空 12,354,080",流空,short,-12354080,12354080,建仓过程
2026-06-05,徽商期货,塑料,"流空 11,696,040",流空,short,-11696040,11696040,建仓过程
2026-06-05,徽商期货,焦煤,"流空 9,847,110",流空,short,-9847110,9847110,建仓过程
2026-06-05,徽商期货,豆二,"流多 8,964,740",流多,long,8964740,8964740,建仓过程
2026-06-05,徽商期货,氧化铝,"流空 8,761,280",流空,short,-8761280,8761280,建仓过程
2026-06-05,徽商期货,铁矿石,"流空 8,576,700",流空,short,-8576700,8576700,建仓过程
2026-06-05,徽商期货,对二甲苯,"流空 7,491,360",流空,short,-7491360,7491360,建仓过程
2026-06-05,徽商期货,苯乙烯,"流空 7,129,360",流空,short,-7129360,7129360,建仓过程
2026-06-05,徽商期货,苹果,"流空 5,878,950",流空,short,-5878950,5878950,建仓过程
2026-06-05,徽商期货,焦炭,"流多 5,745,600",流多,long,5745600,5745600,建仓过程
2026-06-05,徽商期货,多晶硅,"流空 5,726,700",流空,short,-5726700,5726700,建仓过程
2026-06-05,徽商期货,红枣,"流空 5,261,250",流空,short,-5261250,5261250,建仓过程
2026-06-05,摩根大通,1000中证,"流空 426,550,400",流空,short,-426550400,426550400,建仓过程
2026-06-05,摩根大通,豆粕,"流多 406,068,770",流多,long,406068770,406068770,建仓过程
2026-06-05,摩根大通,豆油,"流多 400,217,490",流多,long,400217490,400217490,建仓过程
2026-06-05,摩根大通,棕榈油,"流空 276,523,500",流空,short,-276523500,276523500,建仓过程
2026-06-05,摩根大通,豆一,"流多 183,776,680",流多,long,183776680,183776680,建仓过程
2026-06-05,摩根大通,PTA,"流多 158,055,030",流多,long,158055030,158055030,建仓过程
2026-06-05,摩根大通,豆二,"流空 102,308,200",流空,short,-102308200,102308200,建仓过程
2026-06-05,摩根大通,菜油,"流空 93,795,240",流空,short,-93795240,93795240,建仓过程
2026-06-05,摩根大通,铁矿石,"流空 87,592,500",流空,short,-87592500,87592500,建仓过程
2026-06-05,摩根大通,300沪深,"流多 59,696,040",流多,long,59696040,59696040,建仓过程
2026-06-05,摩根大通,20号胶,"流空 30,050,100",流空,short,-30050100,30050100,建仓过程
2026-06-05,摩根大通,对二甲苯,"流多 28,916,160",流多,long,28916160,28916160,建仓过程
2026-06-05,摩根大通,花生,"流多 27,750,330",流多,long,27750330,27750330,建仓过程
2026-06-05,摩根大通,瓶片,"流多 25,156,530",流多,long,25156530,25156530,建仓过程
2026-06-05,摩根大通,沪锌,"流多 23,726,975",流多,long,23726975,23726975,建仓过程
