date,broker,product,flow_text,flow_direction_cn,flow_direction,flow_value,abs_flow_value,action
2026-06-03,东方财富,生猪,"流空 181,093,280",流空,short,-181093280,181093280,建仓过程
2026-06-03,东方财富,多晶硅,"流空 150,403,095",流空,short,-150403095,150403095,建仓过程
2026-06-03,东方财富,沪锡,"流多 111,717,820",流多,long,111717820,111717820,建仓过程
2026-06-03,东方财富,鸡蛋,"流空 103,993,600",流空,short,-103993600,103993600,建仓过程
2026-06-03,东方财富,红枣,"流空 103,760,400",流空,short,-103760400,103760400,建仓过程
2026-06-03,东方财富,氧化铝,"流多 74,925,760",流多,long,74925760,74925760,建仓过程
2026-06-03,东方财富,三十债,"流多 54,744,000",流多,long,54744000,54744000,建仓过程
2026-06-03,东方财富,玉米,"流多 41,044,240",流多,long,41044240,41044240,建仓过程
2026-06-03,东方财富,沪银,"流空 9,781,020",流空,short,-9781020,9781020,建仓过程
2026-06-03,东方财富,烧碱,"流空 8,456,400",流空,short,-8456400,8456400,建仓过程
2026-06-03,东方财富,燃料油,"流空 7,997,160",流空,short,-7997160,7997160,建仓过程
2026-06-03,国泰君安,1000中证,"流多 4,951,054,640",流多,long,4951054640,4951054640,建仓过程
2026-06-03,国泰君安,500中证,"流多 1,221,671,080",流多,long,1221671080,1221671080,建仓过程
2026-06-03,国泰君安,三十债,"流多 1,055,826,700",流多,long,1055826700,1055826700,建仓过程
2026-06-03,国泰君安,沪银,"流空 967,561,080",流空,short,-967561080,967561080,建仓过程
2026-06-03,国泰君安,二债,"流空 743,099,120",流空,short,-743099120,743099120,建仓过程
2026-06-03,国泰君安,菜油,"流多 710,265,470",流多,long,710265470,710265470,建仓过程
2026-06-03,国泰君安,沪铝,"流空 708,926,925",流空,short,-708926925,708926925,建仓过程
2026-06-03,国泰君安,300沪深,"流多 707,349,120",流多,long,707349120,707349120,建仓过程
2026-06-03,国泰君安,棕榈油,"流空 643,503,260",流空,short,-643503260,643503260,建仓过程
2026-06-03,国泰君安,生猪,"流空 602,809,520",流空,short,-602809520,602809520,建仓过程
2026-06-03,国泰君安,焦煤,"流多 580,854,060",流多,long,580854060,580854060,建仓过程
2026-06-03,国泰君安,天然橡胶,"流空 506,972,100",流空,short,-506972100,506972100,建仓过程
2026-06-03,国泰君安,沪镍,"流空 369,405,250",流空,short,-369405250,369405250,建仓过程
2026-06-03,国泰君安,50上证,"流多 334,570,500",流多,long,334570500,334570500,建仓过程
2026-06-03,国泰君安,PVC,"流空 308,454,525",流空,short,-308454525,308454525,建仓过程
2026-06-03,国泰君安,沪锡,"流空 242,328,110",流空,short,-242328110,242328110,建仓过程
2026-06-03,国泰君安,沪金,"流多 223,006,560",流多,long,223006560,223006560,建仓过程
2026-06-03,国泰君安,苯乙烯,"流空 220,094,080",流空,short,-220094080,220094080,建仓过程
2026-06-03,国泰君安,铁矿石,"流多 219,359,050",流多,long,219359050,219359050,建仓过程
2026-06-03,国泰君安,沪铅,"流空 215,669,650",流空,short,-215669650,215669650,建仓过程
2026-06-03,国泰君安,十债,"流空 212,973,950",流空,short,-212973950,212973950,建仓过程
2026-06-03,国泰君安,玉米,"流空 205,921,950",流空,short,-205921950,205921950,建仓过程
2026-06-03,国泰君安,豆油,"流空 191,333,140",流空,short,-191333140,191333140,建仓过程
2026-06-03,国泰君安,对二甲苯,"流空 177,756,520",流空,short,-177756520,177756520,建仓过程
2026-06-03,国泰君安,玻璃,"流多 173,660,340",流多,long,173660340,173660340,建仓过程
2026-06-03,国泰君安,硅铁,"流空 168,922,880",流空,short,-168922880,168922880,建仓过程
2026-06-03,国泰君安,PTA,"流空 161,305,280",流空,short,-161305280,161305280,建仓过程
2026-06-03,国泰君安,鸡蛋,"流空 160,966,630",流空,short,-160966630,160966630,建仓过程
2026-06-03,国泰君安,PP,"流空 150,553,500",流空,short,-150553500,150553500,建仓过程
2026-06-03,国泰君安,碳酸锂,"流空 149,338,060",流空,short,-149338060,149338060,建仓过程
2026-06-03,国泰君安,不锈钢,"流空 148,703,175",流空,short,-148703175,148703175,建仓过程
2026-06-03,国泰君安,多晶硅,"流空 142,058,550",流空,short,-142058550,142058550,建仓过程
2026-06-03,国泰君安,塑料,"流空 138,328,190",流空,short,-138328190,138328190,建仓过程
2026-06-03,国泰君安,沥青,"流空 133,206,410",流空,short,-133206410,133206410,建仓过程
2026-06-03,国泰君安,苹果,"流多 127,400,720",流多,long,127400720,127400720,建仓过程
2026-06-03,国泰君安,螺纹钢,"流空 125,830,310",流空,short,-125830310,125830310,建仓过程
2026-06-03,国泰君安,花生,"流多 120,614,030",流多,long,120614030,120614030,建仓过程
2026-06-03,国泰君安,豆粕,"流空 120,016,850",流空,short,-120016850,120016850,建仓过程
2026-06-03,国泰君安,热卷,"流多 106,223,560",流多,long,106223560,106223560,建仓过程
2026-06-03,国泰君安,液化气,"流多 96,298,820",流多,long,96298820,96298820,建仓过程
2026-06-03,国泰君安,棉花,"流空 93,140,000",流空,short,-93140000,93140000,建仓过程
2026-06-03,国泰君安,合成橡胶,"流空 91,354,900",流空,short,-91354900,91354900,建仓过程
2026-06-03,国泰君安,燃料油,"流多 90,517,480",流多,long,90517480,90517480,建仓过程
2026-06-03,国泰君安,纯碱,"流多 82,232,600",流多,long,82232600,82232600,建仓过程
2026-06-03,国泰君安,白糖,"流多 68,938,010",流多,long,68938010,68938010,建仓过程
2026-06-03,国泰君安,氧化铝,"流空 65,037,880",流空,short,-65037880,65037880,建仓过程
2026-06-03,国泰君安,乙二醇,"流多 61,938,390",流多,long,61938390,61938390,建仓过程
2026-06-03,国泰君安,淀粉,"流空 53,228,280",流空,short,-53228280,53228280,建仓过程
2026-06-03,国泰君安,五债,"流多 47,886,750",流多,long,47886750,47886750,建仓过程
