date,broker,category,product,net_position_text,contract,long_position,long_change,short_position,short_change
2026-05-22,高盛期货,农副,花生,"净空14930
(增加441)
净持仓数据",pk2610,0,0,15426,437
2026-05-22,高盛期货,农副,花生,"净空14930
(增加441)
净持仓数据",pk2611,496,-4,0,0
2026-05-22,高盛期货,化工,塑料,"净空17575
(减少754)
净持仓数据",l2609,0,0,18147,-657
2026-05-22,高盛期货,化工,塑料,"净空17575
(减少754)
净持仓数据",l2701,572,97,0,0
2026-05-22,高盛期货,化工,甲醇,"净空3253
(减少552)
净持仓数据",ma2609,13439,596,16692,44
2026-05-22,高盛期货,化工,20号胶,"净多600
(增加220)
净持仓数据",nr2607,0,0,1083,-235
2026-05-22,高盛期货,化工,20号胶,"净多600
(增加220)
净持仓数据",nr2608,1683,-15,0,0
2026-05-22,高盛期货,化工,短纤,"净空10491
(增加6435)
净持仓数据",pf2607,1746,-1767,10977,3718
2026-05-22,高盛期货,化工,短纤,"净空10491
(增加6435)
净持仓数据",pf2608,1002,132,2262,1082
2026-05-22,高盛期货,化工,液化气,"净多5256
(增加208)
净持仓数据",pg2607,4146,-42,0,0
2026-05-22,高盛期货,化工,液化气,"净多5256
(增加208)
净持仓数据",pg2608,1110,250,0,0
2026-05-22,高盛期货,化工,PP,"净多5979
(减少2122)
净持仓数据",pp2609,9408,-2122,3429,0
2026-05-22,高盛期货,化工,瓶片,"净空518
(增加428)
净持仓数据",pr2607,0,0,518,428
2026-05-22,高盛期货,化工,对二甲苯,"净空3408
(增加4992)
净持仓数据",px2609,2115,-3053,5523,1939
2026-05-22,高盛期货,化工,纯碱,"净空66554
(减少872)
净持仓数据",sa2609,0,0,52605,-973
2026-05-22,高盛期货,化工,纯碱,"净空66554
(减少872)
净持仓数据",sa2701,0,0,13949,101
2026-05-22,高盛期货,化工,PTA,"净空483
(增加22387)
净持仓数据",ta2606,4000,-157,0,0
2026-05-22,高盛期货,化工,PTA,"净空483
(增加22387)
净持仓数据",ta2607,9986,0,0,0
2026-05-22,高盛期货,化工,PTA,"净空483
(增加22387)
净持仓数据",ta2608,960,-226,952,952
2026-05-22,高盛期货,化工,PTA,"净空483
(增加22387)
净持仓数据",ta2609,25039,-4660,39128,19735
2026-05-22,高盛期货,化工,PTA,"净空483
(增加22387)
净持仓数据",ta2610,0,-352,388,351
2026-05-22,高盛期货,化工,PTA,"净空483
(增加22387)
净持仓数据",ta2701,0,0,0,-4046
2026-05-22,高盛期货,化工,沥青,"净多13841
(减少2706)
净持仓数据",bu2609,13841,-2706,0,0
2026-05-22,高盛期货,化工,PVC,"净空34832
(减少6816)
净持仓数据",v2609,0,0,34832,-6816
2026-05-22,高盛期货,化工,苯乙烯,"净多4426
(减少1158)
净持仓数据",eb2607,3283,-1654,1674,0
2026-05-22,高盛期货,化工,苯乙烯,"净多4426
(减少1158)
净持仓数据",eb2608,2817,496,0,0
2026-05-22,高盛期货,化工,乙二醇,"净空15083
(增加1928)
净持仓数据",eg2609,0,0,15083,1928
