date,broker,category,product,net_position_text,contract,long_position,long_change,short_position,short_change
2026-06-01,高盛期货,农副,花生,"净空14949
(增加103)
净持仓数据",pk2610,0,0,15634,279
2026-06-01,高盛期货,农副,花生,"净空14949
(增加103)
净持仓数据",pk2611,685,176,0,0
2026-06-01,高盛期货,化工,塑料,"净空5125
净持仓数据",l2609,0,0,5125,0
2026-06-01,高盛期货,化工,甲醇,"净多20522
(增加4666)
净持仓数据",ma2609,20522,4666,0,0
2026-06-01,高盛期货,化工,20号胶,"净多1134
(减少1134)
净持仓数据",nr2608,2294,-847,1341,287
2026-06-01,高盛期货,化工,20号胶,"净多1134
(减少1134)
净持仓数据",nr2609,181,0,0,0
2026-06-01,高盛期货,化工,短纤,"净空6039
(增加771)
净持仓数据",pf2607,0,0,3511,37
2026-06-01,高盛期货,化工,短纤,"净空6039
(增加771)
净持仓数据",pf2608,1823,-153,4351,581
2026-06-01,高盛期货,化工,液化气,"净多7229
(增加111)
净持仓数据",pg2607,6010,111,0,0
2026-06-01,高盛期货,化工,液化气,"净多7229
(增加111)
净持仓数据",pg2608,1219,0,0,0
2026-06-01,高盛期货,化工,PP,"净多13852
(增加4202)
净持仓数据",pp2609,14932,4220,0,0
2026-06-01,高盛期货,化工,PP,"净多13852
(增加4202)
净持仓数据",pp2701,0,0,1080,18
2026-06-01,高盛期货,化工,瓶片,"净多824
(减少242)
净持仓数据",pr2607,1220,36,308,278
2026-06-01,高盛期货,化工,瓶片,"净多824
(减少242)
净持仓数据",pr2608,0,0,106,0
2026-06-01,高盛期货,化工,瓶片,"净多824
(减少242)
净持仓数据",pr2609,18,0,0,0
2026-06-01,高盛期货,化工,对二甲苯,"净空390
(增加22)
净持仓数据",px2609,3436,-35,4048,-13
2026-06-01,高盛期货,化工,对二甲苯,"净空390
(增加22)
净持仓数据",px2701,222,0,0,0
2026-06-01,高盛期货,化工,天然橡胶,"净多3015
(增加171)
净持仓数据",ru2609,3015,171,0,0
2026-06-01,高盛期货,化工,纯碱,"净空50639
(减少5732)
净持仓数据",sa2609,0,0,36690,-5732
2026-06-01,高盛期货,化工,纯碱,"净空50639
(减少5732)
净持仓数据",sa2701,0,0,13949,0
2026-06-01,高盛期货,化工,PTA,"净多52
(增加5703)
净持仓数据",ta2606,12,0,0,0
2026-06-01,高盛期货,化工,PTA,"净多52
(增加5703)
净持仓数据",ta2607,10986,-228,0,0
2026-06-01,高盛期货,化工,PTA,"净多52
(增加5703)
净持仓数据",ta2608,1513,-226,0,0
2026-06-01,高盛期货,化工,PTA,"净多52
(增加5703)
净持仓数据",ta2609,17520,826,33165,-5322
2026-06-01,高盛期货,化工,PTA,"净多52
(增加5703)
净持仓数据",ta2610,607,-144,0,0
2026-06-01,高盛期货,化工,PTA,"净多52
(增加5703)
净持仓数据",ta2701,2579,153,0,0
2026-06-01,高盛期货,化工,沥青,"净多5556
(增加1468)
净持仓数据",bu2609,10417,1512,4861,44
2026-06-01,高盛期货,化工,PVC,"净空41436
(减少6920)
净持仓数据",v2609,0,0,41436,-6920
2026-06-01,高盛期货,化工,苯乙烯,"净多12931
(增加558)
净持仓数据",eb2607,10691,717,0,0
2026-06-01,高盛期货,化工,苯乙烯,"净多12931
(增加558)
净持仓数据",eb2608,2240,-159,0,0
2026-06-01,高盛期货,化工,乙二醇,"净空12727
(减少520)
净持仓数据",eg2609,0,0,12727,-520
2026-06-01,高盛期货,原油,燃料油,"净空16
(增加1226)
净持仓数据",fu2609,2903,-435,2919,791
2026-06-01,高盛期货,原油,低硫油,"净多556
净持仓数据",lu2607,556,0,0,0
2026-06-01,高盛期货,有色,碳酸锂,"净空2835
(增加622)
净持仓数据",lc2609,0,0,3235,622
2026-06-01,高盛期货,有色,碳酸锂,"净空2835
(增加622)
净持仓数据",lc2611,200,0,0,0
2026-06-01,高盛期货,有色,碳酸锂,"净空2835
(增加622)
净持仓数据",lc2701,200,0,0,0
2026-06-01,高盛期货,有色,沪镍,"净空3870
(增加452)
净持仓数据",ni2609,0,0,3870,452
2026-06-01,高盛期货,有色,沪铅,"净空7089
(增加910)
净持仓数据",pb2608,0,-275,7089,635
2026-06-01,高盛期货,有色,沪锡,"净多1224
(增加234)
净持仓数据",sn2608,1224,234,0,0
2026-06-01,高盛期货,有色,沪铝,"净空3288
(减少1351)
净持仓数据",al2608,5309,1195,8597,-156
2026-06-01,高盛期货,有色,沪铜,"净多2413
(减少87)
净持仓数据",cu2608,4043,-87,0,0
2026-06-01,高盛期货,有色,沪铜,"净多2413
(减少87)
净持仓数据",cu2612,0,0,1630,0
2026-06-01,高盛期货,有色,沪锌,"净多13455
(减少823)
净持仓数据",zn2607,3284,94,0,0
2026-06-01,高盛期货,有色,沪锌,"净多13455
(减少823)
净持仓数据",zn2608,11901,4,2162,922
2026-06-01,高盛期货,有色,沪锌,"净多13455
(减少823)
净持仓数据",zn2609,432,1,0,0
2026-06-01,高盛期货,油脂油料,豆粕,"净多42169
(减少11645)
净持仓数据",m2609,42169,-11645,0,0
2026-06-01,高盛期货,油脂油料,菜油,"净多38000
(增加736)
净持仓数据",oi2607,902,-36,0,0
2026-06-01,高盛期货,油脂油料,菜油,"净多38000
(增加736)
净持仓数据",oi2609,35502,837,0,0
2026-06-01,高盛期货,油脂油料,菜油,"净多38000
(增加736)
净持仓数据",oi2611,520,0,0,0
2026-06-01,高盛期货,油脂油料,菜油,"净多38000
(增加736)
净持仓数据",oi2701,1076,-65,0,0
2026-06-01,高盛期货,油脂油料,棕榈油,"净空12833
(减少4492)
净持仓数据",p2609,9308,451,22141,-4041
2026-06-01,高盛期货,油脂油料,菜粕,"净空35783
(减少93)
净持仓数据",rm2608,0,0,281,-44
2026-06-01,高盛期货,油脂油料,菜粕,"净空35783
(减少93)
净持仓数据",rm2609,32292,363,62408,337
2026-06-01,高盛期货,油脂油料,菜粕,"净空35783
(减少93)
净持仓数据",rm2701,0,0,5386,-23
2026-06-01,高盛期货,油脂油料,豆一,"净空10014
(增加4523)
净持仓数据",a2607,7492,-2947,17031,-517
2026-06-01,高盛期货,油脂油料,豆一,"净空10014
(增加4523)
净持仓数据",a2609,3314,-644,3789,1449
2026-06-01,高盛期货,油脂油料,豆二,"净空9216
(增加1914)
净持仓数据",b2607,4357,-1303,9649,131
2026-06-01,高盛期货,油脂油料,豆二,"净空9216
(增加1914)
净持仓数据",b2608,715,0,0,0
2026-06-01,高盛期货,油脂油料,豆二,"净空9216
(增加1914)
净持仓数据",b2609,1702,-215,6341,265
2026-06-01,高盛期货,油脂油料,豆油,"净多41837
(增加2163)
净持仓数据",y2609,41837,2163,0,0
2026-06-01,高盛期货,贵金属,沪银,"净多2898
(增加226)
净持仓数据",ag2608,4403,216,0,0
2026-06-01,高盛期货,贵金属,沪银,"净多2898
(增加226)
净持仓数据",ag2610,0,0,1505,-10
2026-06-01,高盛期货,软商品,白糖,"净空90752
(减少5023)
净持仓数据",sr2609,0,0,90752,-5023
2026-06-01,高盛期货,轻工,玻璃,"净空81624
(减少9566)
净持仓数据",fg2609,0,0,71246,-9566
2026-06-01,高盛期货,轻工,玻璃,"净空81624
(减少9566)
净持仓数据",fg2701,0,0,10378,0
2026-06-01,高盛期货,轻工,纸浆,"净空20642
(减少312)
净持仓数据",sp2609,0,0,20642,-312
2026-06-01,高盛期货,黑色,热卷,"净多123803
(增加10250)
净持仓数据",hc2610,123803,10250,0,0
2026-06-01,高盛期货,黑色,铁矿石,"净多33873
(减少1869)
净持仓数据",i2607,1545,0,0,0
2026-06-01,高盛期货,黑色,铁矿石,"净多33873
(减少1869)
净持仓数据",i2609,35077,-1699,10122,1454
2026-06-01,高盛期货,黑色,铁矿石,"净多33873
(减少1869)
净持仓数据",i2701,7373,1284,0,0
2026-06-01,高盛期货,黑色,螺纹钢,"净空41726
(减少202)
净持仓数据",rb2610,0,0,41726,-202
2026-06-01,高盛期货,黑色,硅铁,"净多12488
(增加1343)
净持仓数据",sf2607,7275,-445,0,0
2026-06-01,高盛期货,黑色,硅铁,"净多12488
(增加1343)
净持仓数据",sf2609,6298,1788,1085,0
2026-06-01,高盛期货,黑色,锰硅,"净空43267
(减少384)
净持仓数据",sm2607,0,0,36104,-1845
2026-06-01,高盛期货,黑色,锰硅,"净空43267
(减少384)
净持仓数据",sm2609,0,0,7277,1433
2026-06-01,高盛期货,黑色,锰硅,"净空43267
(减少384)
净持仓数据",sm2701,114,-28,0,0
2026-06-01,高盛期货,黑色,不锈钢,"净多7324
(减少2289)
净持仓数据",ss2608,8978,-836,1654,1453
2026-06-01,摩根大通,农副,花生,"净空13985
(增加1110)
净持仓数据",pk2610,0,0,13985,1110
2026-06-01,摩根大通,化工,20号胶,"净多7194
(增加553)
净持仓数据",nr2607,639,-67,0,0
2026-06-01,摩根大通,化工,20号胶,"净多7194
(增加553)
净持仓数据",nr2608,6555,620,0,0
2026-06-01,摩根大通,化工,对二甲苯,"净多1631
(增加909)
净持仓数据",px2609,1631,909,0,0
2026-06-01,摩根大通,化工,天然橡胶,"净空200
净持仓数据",ru2701,0,0,200,0
2026-06-01,摩根大通,化工,PTA,"净多33721
(增加2804)
净持仓数据",ta2609,33721,2804,0,0
2026-06-01,摩根大通,有色,沪镍,"净空566
(增加696)
净持仓数据",ni2608,427,-504,0,0
2026-06-01,摩根大通,有色,沪镍,"净空566
(增加696)
净持仓数据",ni2609,0,0,993,192
2026-06-01,摩根大通,有色,沪锌,"净空2062
(增加295)
净持仓数据",zn2607,0,0,2062,295
2026-06-01,摩根大通,油脂油料,豆二,"净空3864
(增加743)
净持仓数据",b2608,0,0,522,0
2026-06-01,摩根大通,油脂油料,豆二,"净空3864
(增加743)
净持仓数据",b2609,2349,17,986,431
