date,broker,category,product,net_position_text,contract,long_position,long_change,short_position,short_change
2026-05-14,高盛期货,农副,花生,"净空10313
(增加4989)
净持仓数据",pk2610,0,-4140,10738,849
2026-05-14,高盛期货,农副,花生,"净空10313
(增加4989)
净持仓数据",pk2611,425,0,0,0
2026-05-14,高盛期货,化工,塑料,"净空23876
(增加3539)
净持仓数据",l2609,0,0,23876,3539
2026-05-14,高盛期货,化工,甲醇,"净空15315
(减少1720)
净持仓数据",ma2609,11628,-404,26943,-2124
2026-05-14,高盛期货,化工,20号胶,"净多1845
(减少2160)
净持仓数据",nr2607,1030,-2575,0,0
2026-05-14,高盛期货,化工,20号胶,"净多1845
(减少2160)
净持仓数据",nr2608,815,415,0,0
2026-05-14,高盛期货,化工,短纤,"净空92
(增加1733)
净持仓数据",pf2607,5092,-262,6381,668
2026-05-14,高盛期货,化工,短纤,"净空92
(增加1733)
净持仓数据",pf2608,1197,-803,0,0
2026-05-14,高盛期货,化工,液化气,"净多4671
(减少791)
净持仓数据",pg2607,4671,-791,0,0
2026-05-14,高盛期货,化工,PP,"净多5755
(减少1619)
净持仓数据",pp2609,5755,-1619,0,0
2026-05-14,高盛期货,化工,瓶片,"净多23
(增加44)
净持仓数据",pr2607,1746,0,1723,-44
2026-05-14,高盛期货,化工,对二甲苯,"净多117
(增加1266)
净持仓数据",px2609,3991,1401,3874,135
2026-05-14,高盛期货,化工,纯碱,"净空59215
(增加1479)
净持仓数据",sa2609,0,0,49842,233
2026-05-14,高盛期货,化工,纯碱,"净空59215
(增加1479)
净持仓数据",sa2701,0,0,9373,1246
2026-05-14,高盛期货,化工,PTA,"净多26347
(减少332)
净持仓数据",ta2606,4235,78,0,0
2026-05-14,高盛期货,化工,PTA,"净多26347
(减少332)
净持仓数据",ta2607,10198,212,0,0
2026-05-14,高盛期货,化工,PTA,"净多26347
(减少332)
净持仓数据",ta2608,385,167,0,0
2026-05-14,高盛期货,化工,PTA,"净多26347
(减少332)
净持仓数据",ta2609,28133,-425,17138,1037
2026-05-14,高盛期货,化工,PTA,"净多26347
(减少332)
净持仓数据",ta2610,650,99,0,0
2026-05-14,高盛期货,化工,PTA,"净多26347
(减少332)
净持仓数据",ta2701,2924,574,3040,0
2026-05-14,高盛期货,化工,PVC,"净空21396
(增加4640)
净持仓数据",v2609,0,0,21396,4640
2026-05-14,高盛期货,化工,沥青,"净多10167
(减少109)
净持仓数据",bu2609,10167,-109,0,0
2026-05-14,高盛期货,化工,苯乙烯,"净多5200
(增加541)
净持仓数据",eb2607,8027,46,2827,-495
2026-05-14,高盛期货,化工,乙二醇,"净空18332
(增加5548)
净持仓数据",eg2609,0,0,18332,5548
